Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Afghanistan,2020-10-21 13:24:19,33.93911,67.709953,40510.0,1501.0,33824.0,5185.0,104.06300129769207,,,3.705257960997285,4,AFG
Albania,2020-10-21 13:24:19,41.1533,20.1683,17651.0,458.0,10225.0,6968.0,613.3504760581,,,2.5947538383094444,8,ALB
Algeria,2020-10-21 13:24:19,28.0339,1.6596,54829.0,1873.0,38346.0,14610.0,125.03465424984304,,,3.41607543453282,12,DZA
Andorra,2020-10-21 13:24:19,42.5063,1.5218,3623.0,62.0,2273.0,1288.0,4689.0571410082175,,,1.7112889870273251,20,AND
Angola,2020-10-21 13:24:19,-11.2027,17.8739,8049.0,251.0,3037.0,4761.0,24.490155073280608,,,3.1183998012175427,24,AGO
Antigua and Barbuda,2020-10-21 13:24:19,17.0608,-61.7964,122.0,3.0,101.0,18.0,124.58132505514256,,,2.459016393442623,28,ATG
Argentina,2020-10-21 13:24:19,-38.4161,-63.6167,1018999.0,27100.0,829647.0,162252.0,2254.633214957229,,,2.659472678579665,32,ARG
Armenia,2020-10-21 13:24:19,40.0691,45.0382,68530.0,1121.0,49219.0,18190.0,2312.6759479676602,,,1.635779950386692,51,ARM
Australia,2020-10-21 13:24:19,-25.0,133.0,27444.0,905.0,25147.0,1392.0,107.79388602379449,,,3.2976242530243405,36,AUS
Austria,2020-10-21 13:24:19,47.5162,14.5501,69409.0,925.0,52617.0,15867.0,770.6630840291348,,,1.3326801999740667,40,AUT
Azerbaijan,2020-10-21 13:24:19,40.1431,47.5769,46593.0,642.0,40448.0,5503.0,459.5344295763708,,,1.377889382525272,31,AZE
Bahamas,2020-10-21 13:24:19,25.025885,-78.035889,5923.0,124.0,3525.0,2274.0,1506.1742208479127,,,2.0935336822556136,44,BHS
Bahrain,2020-10-21 13:24:19,26.0275,50.55,78533.0,307.0,75089.0,3137.0,4615.290585296162,,,0.39091846739587177,48,BHR
Bangladesh,2020-10-21 13:24:19,23.685,90.3563,393131.0,5723.0,308845.0,78563.0,238.71059131966027,,,1.4557488470764195,50,BGD
Barbados,2020-10-21 13:24:19,13.1939,-59.5432,222.0,7.0,204.0,11.0,77.25205396508346,,,3.1531531531531534,52,BRB
Belarus,2020-10-21 13:24:19,53.7098,27.9534,88909.0,937.0,80503.0,7469.0,940.9035845009391,,,1.053886558166215,112,BLR
Belgium,2020-10-21 13:24:19,50.8333,4.469936,240159.0,10489.0,21476.0,208194.0,2072.191175272761,,,4.367523182558222,56,BEL
Belize,2020-10-21 13:24:19,17.1899,-88.4976,2886.0,45.0,1727.0,1114.0,725.8167953905855,,,1.5592515592515592,84,BLZ
Benin,2020-10-21 13:24:19,9.3077,2.3158,2496.0,41.0,2330.0,125.0,20.58862686231801,,,1.642628205128205,204,BEN
Bhutan,2020-10-21 13:24:19,27.5142,90.4336,331.0,0.0,302.0,29.0,42.89720740475783,,,0.0,64,BTN
Bolivia,2020-10-21 13:24:19,-16.2902,-63.5887,140037.0,8526.0,105526.0,25985.0,1199.6629152553294,,,6.088390925255468,68,BOL
Bosnia and Herzegovina,2020-10-21 13:24:19,43.9159,17.6791,36315.0,1031.0,25779.0,9505.0,1106.8895990782778,,,2.8390472256643258,70,BIH
Botswana,2020-10-21 13:24:19,-22.3285,24.6849,5609.0,21.0,915.0,4673.0,238.51591984266202,,,0.37439828846496703,72,BWA
Brazil,2020-10-21 13:24:19,-14.235,-51.9253,5273954.0,154837.0,4526393.0,592724.0,2481.167041633993,,,2.935880745262473,76,BRA
Brunei,2020-10-21 13:24:19,4.5353,114.7277,147.0,3.0,143.0,1.0,33.601305650733856,,,2.0408163265306123,96,BRN
Bulgaria,2020-10-21 13:24:19,42.7339,25.4858,31863.0,1019.0,17414.0,13430.0,458.5630310090963,,,3.1980667231585223,100,BGR
Burkina Faso,2020-10-21 13:24:19,12.2383,-1.5616,2406.0,65.0,1824.0,517.0,11.510156445319247,,,2.701579384871156,854,BFA
Burma,2020-10-21 13:24:19,21.9162,95.956,38502.0,945.0,18874.0,18683.0,70.76299535337333,,,2.4544179523141656,104,MMR
Burundi,2020-10-21 13:24:19,-3.3731,29.9189,550.0,1.0,497.0,52.0,4.625432088943527,,,0.18181818181818185,108,BDI
Cabo Verde,2020-10-21 13:24:19,16.5388,-23.0418,7901.0,87.0,6792.0,1022.0,1421.0738361259594,,,1.1011264396911784,132,CPV
Cambodia,2020-10-21 13:24:19,11.55,104.9167,286.0,0.0,280.0,6.0,1.7106315932960228,,,0.0,116,KHM
Cameroon,2020-10-21 13:24:19,3.848,11.5021,21570.0,425.0,20117.0,1028.0,81.25559597532785,,,1.9703291608715812,120,CMR
Canada,2020-10-21 13:24:19,60.00100000000001,-95.001,206349.0,9849.0,174514.0,21986.0,545.0935766559024,,,4.772981696058619,124,CAN
Central African Republic,2020-10-21 13:24:19,6.6111,20.9394,4858.0,62.0,1924.0,2872.0,100.584624838812,,,1.2762453684643886,140,CAF
Chad,2020-10-21 13:24:19,15.4542,18.7322,1399.0,93.0,1199.0,107.0,8.51705837728182,,,6.647605432451751,148,TCD
Chile,2020-10-21 13:24:19,-35.6751,-71.543,494478.0,13702.0,466643.0,14133.0,2586.694882860927,,,2.771002956653279,152,CHL
China,2020-10-21 13:24:19,30.5928,114.3055,91030.0,4739.0,85884.0,407.0,6.4804964713828435,,,5.205976051851039,156,CHN
Colombia,2020-10-21 13:24:19,4.5709,-74.2973,974139.0,29272.0,876731.0,68136.0,1914.4728510278626,,,3.0049099769129457,170,COL
Comoros,2020-10-21 13:24:19,-11.6455,43.3333,504.0,7.0,494.0,3.0,57.95801493798837,,,1.3888888888888888,174,COM
Congo (Brazzaville),2020-10-21 13:24:19,-0.228,15.8277,5156.0,92.0,3887.0,1177.0,93.43809418182951,,,1.7843289371605895,178,COG
Congo (Kinshasa),2020-10-21 13:24:19,-4.0383,21.7587,11066.0,303.0,10362.0,401.0,12.35576878629549,,,2.7381167540213265,180,COD
Costa Rica,2020-10-21 13:24:19,9.7489,-83.7534,97922.0,1222.0,60109.0,36591.0,1922.2577272514907,,,1.2479320275321173,188,CRI
Cote d'Ivoire,2020-10-21 13:24:19,7.54,-5.5471,20342.0,121.0,20044.0,177.0,77.11649074854213,,,0.5948284337823223,384,CIV
Croatia,2020-10-21 13:24:19,45.1,15.2,28287.0,393.0,21435.0,6459.0,689.0414949766983,,,1.3893307879944852,191,HRV
Cuba,2020-10-21 13:24:19,21.521757,-77.78116700000002,6305.0,127.0,5806.0,372.0,55.665346119264576,,,2.014274385408406,192,CUB
Cyprus,2020-10-21 13:24:19,35.1264,33.4299,2839.0,25.0,1444.0,1370.0,235.1409396195504,,,0.8805917576611483,196,CYP
Czechia,2020-10-21 13:24:19,49.8175,15.473,193946.0,1619.0,79108.0,113219.0,1811.0591651008472,,,0.8347684406999887,203,CZE
Denmark,2020-10-21 13:24:19,56.2639,9.5018,37507.0,690.0,30920.0,5897.0,647.5429124290015,,,1.839656597435145,208,DNK
Diamond Princess,2020-10-21 13:24:19,,,712.0,13.0,659.0,40.0,,,,1.8258426966292132,9999,
Djibouti,2020-10-21 13:24:19,11.8251,42.5903,5499.0,61.0,5384.0,54.0,556.5778206926707,,,1.1092925986543007,262,DJI
Dominica,2020-10-21 13:24:19,15.415,-61.371,33.0,0.0,29.0,4.0,45.83906321623536,,,0.0,212,DMA
Dominican Republic,2020-10-21 13:24:19,18.7357,-70.1627,121973.0,2204.0,99271.0,20498.0,1124.392325005826,,,1.806957277430251,214,DOM
Ecuador,2020-10-21 13:24:19,-1.8312,-78.1834,154115.0,12404.0,134187.0,7524.0,873.5162721205959,,,8.048535184764624,218,ECU
Egypt,2020-10-21 13:24:19,26.820553000000004,30.802498,105705.0,6142.0,98413.0,1150.0,103.29370856836874,,,5.810510382668746,818,EGY
El Salvador,2020-10-21 13:24:19,13.7942,-88.8965,32120.0,933.0,27670.0,3517.0,495.20512854905365,,,2.9047322540473224,222,SLV
Equatorial Guinea,2020-10-21 13:24:19,1.6508,10.2679,5074.0,83.0,4954.0,37.0,361.6574660456099,,,1.6357903035080803,226,GNQ
Eritrea,2020-10-21 13:24:19,15.1794,39.7823,452.0,0.0,388.0,64.0,12.745222163039026,,,0.0,232,ERI
Estonia,2020-10-21 13:24:19,58.5953,25.0136,4171.0,71.0,3334.0,766.0,314.42724262158896,,,1.702229681131623,233,EST
Eswatini,2020-10-21 13:24:19,-26.5225,31.4659,5800.0,116.0,5437.0,247.0,499.9293203374695,,,2.0,748,SWZ
Ethiopia,2020-10-21 13:24:19,9.145,40.4897,90490.0,1371.0,43638.0,45481.0,78.71188217924626,,,1.5150845397281467,231,ETH
Fiji,2020-10-21 13:24:19,-17.7134,178.065,33.0,2.0,30.0,1.0,3.6812115424945673,,,6.0606060606060606,242,FJI
