location,target,forecast_date,target_end_date,value
36,1 wk ahead inc death,04-10-2020,10-10-2020,92.053
36,2 wk ahead inc death,04-10-2020,17-10-2020,117.394
36,3 wk ahead inc death,04-10-2020,24-10-2020,137.665
36,4 wk ahead inc death,04-10-2020,31-10-2020,149.636
36,5 wk ahead inc death,04-10-2020,07-11-2020,147.763
36,6 wk ahead inc death,04-10-2020,14-11-2020,135.398
36,7 wk ahead inc death,04-10-2020,21-11-2020,119.419
36,8 wk ahead inc death,04-10-2020,28-11-2020,103.559
36,9 wk ahead inc death,04-10-2020,05-12-2020,89.605
36,10 wk ahead inc death,04-10-2020,12-12-2020,78.407
36,11 wk ahead inc death,04-10-2020,19-12-2020,70.231
36,12 wk ahead inc death,04-10-2020,26-12-2020,64.031
36,1 wk ahead cum death,04-10-2020,10-10-2020,33548.033
36,2 wk ahead cum death,04-10-2020,17-10-2020,33665.426
36,3 wk ahead cum death,04-10-2020,24-10-2020,33803.091
36,4 wk ahead cum death,04-10-2020,31-10-2020,33952.727
36,5 wk ahead cum death,04-10-2020,07-11-2020,34100.49
36,6 wk ahead cum death,04-10-2020,14-11-2020,34235.888
36,7 wk ahead cum death,04-10-2020,21-11-2020,34355.307
36,8 wk ahead cum death,04-10-2020,28-11-2020,34458.866
36,9 wk ahead cum death,04-10-2020,05-12-2020,34548.471
36,10 wk ahead cum death,04-10-2020,12-12-2020,34626.875
36,11 wk ahead cum death,04-10-2020,19-12-2020,34697.104
36,12 wk ahead cum death,04-10-2020,26-12-2020,34761.135
36,1 wk ahead inc death,11-10-2020,17-10-2020,121.623
36,2 wk ahead inc death,11-10-2020,24-10-2020,149.381
36,3 wk ahead inc death,11-10-2020,31-10-2020,169.557
36,4 wk ahead inc death,11-10-2020,07-11-2020,176.365
36,5 wk ahead inc death,11-10-2020,14-11-2020,166.395
36,6 wk ahead inc death,11-10-2020,21-11-2020,147.652
36,7 wk ahead inc death,11-10-2020,28-11-2020,127.615
36,8 wk ahead inc death,11-10-2020,05-12-2020,109.537
36,9 wk ahead inc death,11-10-2020,12-12-2020,94.576
36,10 wk ahead inc death,11-10-2020,19-12-2020,83.126
36,11 wk ahead inc death,11-10-2020,26-12-2020,74.916
36,12 wk ahead inc death,11-10-2020,02-01-2021,68.559
36,1 wk ahead cum death,11-10-2020,17-10-2020,33641.766
36,2 wk ahead cum death,11-10-2020,24-10-2020,33791.147
36,3 wk ahead cum death,11-10-2020,31-10-2020,33960.704
36,4 wk ahead cum death,11-10-2020,07-11-2020,34137.069
36,5 wk ahead cum death,11-10-2020,14-11-2020,34303.464
36,6 wk ahead cum death,11-10-2020,21-11-2020,34451.116
36,7 wk ahead cum death,11-10-2020,28-11-2020,34578.731
36,8 wk ahead cum death,11-10-2020,05-12-2020,34688.268
36,9 wk ahead cum death,11-10-2020,12-12-2020,34782.844
36,10 wk ahead cum death,11-10-2020,19-12-2020,34865.97
36,11 wk ahead cum death,11-10-2020,26-12-2020,34940.886
36,12 wk ahead cum death,11-10-2020,02-01-2021,35009.445
