location,target,forecast_date,target_end_date,value
36,1 wk ahead inc death,20-07-2020,25-07-2020,133
36,2 wk ahead inc death,20-07-2020,01-08-2020,114
36,3 wk ahead inc death,20-07-2020,08-08-2020,136
36,4 wk ahead inc death,20-07-2020,15-08-2020,137
36,1 wk ahead inc death,27-07-2020,01-08-2020,127
36,2 wk ahead inc death,27-07-2020,08-08-2020,115
36,3 wk ahead inc death,27-07-2020,15-08-2020,102
36,4 wk ahead inc death,27-07-2020,22-08-2020,112
36,1 wk ahead inc death,02-08-2020,08-08-2020,89
36,2 wk ahead inc death,02-08-2020,15-08-2020,108
36,3 wk ahead inc death,02-08-2020,22-08-2020,92
36,4 wk ahead inc death,02-08-2020,29-08-2020,96
36,1 wk ahead inc death,10-08-2020,15-08-2020,74
36,2 wk ahead inc death,10-08-2020,22-08-2020,97
36,3 wk ahead inc death,10-08-2020,29-08-2020,90
36,4 wk ahead inc death,10-08-2020,05-09-2020,83
36,1 wk ahead inc death,17-08-2020,22-08-2020,69
36,2 wk ahead inc death,17-08-2020,29-08-2020,71
36,3 wk ahead inc death,17-08-2020,05-09-2020,72
36,4 wk ahead inc death,17-08-2020,12-09-2020,72
36,1 wk ahead inc death,24-08-2020,29-08-2020,43
36,2 wk ahead inc death,24-08-2020,05-09-2020,37
36,3 wk ahead inc death,24-08-2020,12-09-2020,34
36,4 wk ahead inc death,24-08-2020,19-09-2020,40
36,1 wk ahead inc death,31-08-2020,05-09-2020,65
36,2 wk ahead inc death,31-08-2020,12-09-2020,62
36,3 wk ahead inc death,31-08-2020,19-09-2020,56
36,4 wk ahead inc death,31-08-2020,26-09-2020,56
36,1 wk ahead inc death,07-09-2020,12-09-2020,96
36,2 wk ahead inc death,07-09-2020,19-09-2020,85
36,3 wk ahead inc death,07-09-2020,26-09-2020,64
36,4 wk ahead inc death,07-09-2020,03-10-2020,68
36,1 wk ahead inc death,14-09-2020,19-09-2020,40
36,2 wk ahead inc death,14-09-2020,26-09-2020,37
36,3 wk ahead inc death,14-09-2020,03-10-2020,41
36,4 wk ahead inc death,14-09-2020,10-10-2020,41
36,1 wk ahead inc death,21-09-2020,26-09-2020,45
36,2 wk ahead inc death,21-09-2020,03-10-2020,43
36,3 wk ahead inc death,21-09-2020,10-10-2020,44
36,4 wk ahead inc death,21-09-2020,17-10-2020,52
36,1 wk ahead inc death,28-09-2020,03-10-2020,44
36,2 wk ahead inc death,28-09-2020,10-10-2020,39
36,3 wk ahead inc death,28-09-2020,17-10-2020,42
36,4 wk ahead inc death,28-09-2020,24-10-2020,28
36,1 wk ahead inc death,05-10-2020,10-10-2020,51
36,2 wk ahead inc death,05-10-2020,17-10-2020,55
36,3 wk ahead inc death,05-10-2020,24-10-2020,60
36,4 wk ahead inc death,05-10-2020,31-10-2020,55
36,1 wk ahead inc death,12-10-2020,17-10-2020,62
36,2 wk ahead inc death,12-10-2020,24-10-2020,74
36,3 wk ahead inc death,12-10-2020,31-10-2020,87
36,4 wk ahead inc death,12-10-2020,07-11-2020,98
