location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,06-09-2020,12-09-2020,33080
36,2 wk ahead cum death,06-09-2020,19-09-2020,33189
36,3 wk ahead cum death,06-09-2020,26-09-2020,33316
36,4 wk ahead cum death,06-09-2020,03-10-2020,33465
36,5 wk ahead cum death,06-09-2020,10-10-2020,33640
36,6 wk ahead cum death,06-09-2020,17-10-2020,33844
36,7 wk ahead cum death,06-09-2020,24-10-2020,34084
36,8 wk ahead cum death,06-09-2020,31-10-2020,34365
36,1 wk ahead cum death,13-09-2020,19-09-2020,33099
36,2 wk ahead cum death,13-09-2020,26-09-2020,33186
36,3 wk ahead cum death,13-09-2020,03-10-2020,33291
36,4 wk ahead cum death,13-09-2020,10-10-2020,33419
36,5 wk ahead cum death,13-09-2020,17-10-2020,33576
36,6 wk ahead cum death,13-09-2020,24-10-2020,33771
36,7 wk ahead cum death,13-09-2020,31-10-2020,34012
36,8 wk ahead cum death,13-09-2020,07-11-2020,34310
36,1 wk ahead cum death,20-09-2020,26-09-2020,33144
36,2 wk ahead cum death,20-09-2020,03-10-2020,33214
36,3 wk ahead cum death,20-09-2020,10-10-2020,33293
36,4 wk ahead cum death,20-09-2020,17-10-2020,33383
36,5 wk ahead cum death,20-09-2020,24-10-2020,33485
36,6 wk ahead cum death,20-09-2020,31-10-2020,33602
36,7 wk ahead cum death,20-09-2020,07-11-2020,33734
36,8 wk ahead cum death,20-09-2020,14-11-2020,33885
36,1 wk ahead cum death,27-09-2020,03-10-2020,33169
36,2 wk ahead cum death,27-09-2020,10-10-2020,33216
36,3 wk ahead cum death,27-09-2020,17-10-2020,33266
36,4 wk ahead cum death,27-09-2020,24-10-2020,33318
36,5 wk ahead cum death,27-09-2020,31-10-2020,33373
36,6 wk ahead cum death,27-09-2020,07-11-2020,33431
36,7 wk ahead cum death,27-09-2020,14-11-2020,33493
36,8 wk ahead cum death,27-09-2020,21-11-2020,33558
36,1 wk ahead cum death,04-10-2020,10-10-2020,33250
36,2 wk ahead cum death,04-10-2020,17-10-2020,33312
36,3 wk ahead cum death,04-10-2020,24-10-2020,33381
36,4 wk ahead cum death,04-10-2020,31-10-2020,33462
36,5 wk ahead cum death,04-10-2020,07-11-2020,33553
36,6 wk ahead cum death,04-10-2020,14-11-2020,33658
36,7 wk ahead cum death,04-10-2020,21-11-2020,33778
36,8 wk ahead cum death,04-10-2020,28-11-2020,33916
36,1 wk ahead cum death,11-10-2020,17-10-2020,33392.15283
36,2 wk ahead cum death,11-10-2020,24-10-2020,33525.19453
36,3 wk ahead cum death,11-10-2020,31-10-2020,33708.92353
36,4 wk ahead cum death,11-10-2020,07-11-2020,33966.2395
36,5 wk ahead cum death,11-10-2020,14-11-2020,34328.77229
36,6 wk ahead cum death,11-10-2020,21-11-2020,34840.52344
36,7 wk ahead cum death,11-10-2020,28-11-2020,35563.11915
36,8 wk ahead cum death,11-10-2020,05-12-2020,36583.45388
