location,target,forecast_date,target_end_date,value
36,1 wk ahead inc death,24-05-2020,30-05-2020,904.9519415
36,2 wk ahead inc death,24-05-2020,06-06-2020,622.364941
36,3 wk ahead inc death,24-05-2020,13-06-2020,437.1900976
36,4 wk ahead inc death,24-05-2020,20-06-2020,314.35391
36,5 wk ahead inc death,24-05-2020,27-06-2020,232.0083169
36,6 wk ahead inc death,24-05-2020,04-07-2020,177.2369329
36,7 wk ahead inc death,24-05-2020,11-07-2020,140.4339268
36,8 wk ahead inc death,24-05-2020,18-07-2020,114.4312566
36,9 wk ahead inc death,24-05-2020,25-07-2020,96.16533714
36,10 wk ahead inc death,24-05-2020,01-08-2020,82.74790619
36,11 wk ahead inc death,24-05-2020,08-08-2020,72.84748458
36,12 wk ahead inc death,24-05-2020,15-08-2020,64.31252783
36,13 wk ahead inc death,24-05-2020,22-08-2020,58.23385239
36,14 wk ahead inc death,24-05-2020,29-08-2020,52.1719852
36,15 wk ahead inc death,24-05-2020,05-09-2020,47.23480953
36,16 wk ahead inc death,24-05-2020,12-09-2020,43.05923676
36,17 wk ahead inc death,24-05-2020,19-09-2020,39.55213214
36,18 wk ahead inc death,24-05-2020,26-09-2020,36.27184956
36,19 wk ahead inc death,24-05-2020,03-10-2020,33.11306492
36,20 wk ahead inc death,24-05-2020,10-10-2020,30.39306022
36,1 wk ahead cum death,24-05-2020,30-05-2020,29945.90797
36,2 wk ahead cum death,24-05-2020,06-06-2020,30567.44699
36,3 wk ahead cum death,24-05-2020,13-06-2020,31001.14313
36,4 wk ahead cum death,24-05-2020,20-06-2020,31311.88509
36,5 wk ahead cum death,24-05-2020,27-06-2020,31544.42502
36,6 wk ahead cum death,24-05-2020,04-07-2020,31726.40723
36,7 wk ahead cum death,24-05-2020,11-07-2020,31871.7059
36,8 wk ahead cum death,24-05-2020,18-07-2020,31991.34427
36,9 wk ahead cum death,24-05-2020,25-07-2020,32092.51193
36,10 wk ahead cum death,24-05-2020,01-08-2020,32179.94664
36,11 wk ahead cum death,24-05-2020,08-08-2020,32256.81436
36,12 wk ahead cum death,24-05-2020,15-08-2020,32325.27007
36,13 wk ahead cum death,24-05-2020,22-08-2020,32386.81531
36,14 wk ahead cum death,24-05-2020,29-08-2020,32442.52634
36,15 wk ahead cum death,24-05-2020,05-09-2020,32493.19995
36,16 wk ahead cum death,24-05-2020,12-09-2020,32539.4468
36,17 wk ahead cum death,24-05-2020,19-09-2020,32581.25652
36,18 wk ahead cum death,24-05-2020,26-09-2020,32618.7118
36,19 wk ahead cum death,24-05-2020,03-10-2020,32652.58373
36,20 wk ahead cum death,24-05-2020,10-10-2020,32680.57869
36,1 wk ahead inc death,31-05-2020,06-06-2020,609.478531
36,2 wk ahead inc death,31-05-2020,13-06-2020,429.9229774
36,3 wk ahead inc death,31-05-2020,20-06-2020,313.7924234
36,4 wk ahead inc death,31-05-2020,27-06-2020,234.281682
36,5 wk ahead inc death,31-05-2020,04-07-2020,177.636996
