location,target,forecast_date,target_end_date,value
36,1 wk ahead inc death,09-08-2020,15-08-2020,74.796
36,1 wk ahead cum death,09-08-2020,15-08-2020,32842.796
36,1 wk ahead inc case,09-08-2020,15-08-2020,4598.597
36,2 wk ahead inc death,09-08-2020,22-08-2020,74.606
36,2 wk ahead cum death,09-08-2020,22-08-2020,32916.124
36,2 wk ahead inc case,09-08-2020,22-08-2020,4704.781
36,3 wk ahead inc death,09-08-2020,29-08-2020,74.849
36,3 wk ahead cum death,09-08-2020,29-08-2020,32993.038
36,3 wk ahead inc case,09-08-2020,29-08-2020,4679.328
36,4 wk ahead inc death,09-08-2020,05-09-2020,73.5
36,4 wk ahead cum death,09-08-2020,05-09-2020,33059.53
36,4 wk ahead inc case,09-08-2020,05-09-2020,4845.03
36,1 wk ahead inc death,16-08-2020,22-08-2020,64.651
36,1 wk ahead cum death,16-08-2020,22-08-2020,32897.651
36,1 wk ahead inc case,16-08-2020,22-08-2020,4583.755
36,2 wk ahead inc death,16-08-2020,29-08-2020,63.882
36,2 wk ahead cum death,16-08-2020,29-08-2020,32964.14
36,2 wk ahead inc case,16-08-2020,29-08-2020,4572.643
36,3 wk ahead inc death,16-08-2020,05-09-2020,67.346
36,3 wk ahead cum death,16-08-2020,05-09-2020,33029.449
36,3 wk ahead inc case,16-08-2020,05-09-2020,4527.018
36,4 wk ahead inc death,16-08-2020,12-09-2020,71.517
36,4 wk ahead cum death,16-08-2020,12-09-2020,33095.845
36,4 wk ahead inc case,16-08-2020,12-09-2020,4488.445
36,1 wk ahead inc death,23-08-2020,29-08-2020,42.289
36,1 wk ahead cum death,23-08-2020,29-08-2020,32913.289
36,1 wk ahead inc case,23-08-2020,29-08-2020,4285.097
36,2 wk ahead inc death,23-08-2020,05-09-2020,42.853
36,2 wk ahead cum death,23-08-2020,05-09-2020,32955.439
36,2 wk ahead inc case,23-08-2020,05-09-2020,4297.879
36,3 wk ahead inc death,23-08-2020,12-09-2020,40.379
36,3 wk ahead cum death,23-08-2020,12-09-2020,32998.682
36,3 wk ahead inc case,23-08-2020,12-09-2020,4344.245
36,4 wk ahead inc death,23-08-2020,19-09-2020,39.115
36,4 wk ahead cum death,23-08-2020,19-09-2020,33040.059
36,4 wk ahead inc case,23-08-2020,19-09-2020,4304.627
36,1 wk ahead inc death,30-08-2020,05-09-2020,70.723
36,1 wk ahead cum death,30-08-2020,05-09-2020,33008.723
36,1 wk ahead inc case,30-08-2020,05-09-2020,4211.698
36,2 wk ahead inc death,30-08-2020,12-09-2020,70.832
36,2 wk ahead cum death,30-08-2020,12-09-2020,33083.309
36,2 wk ahead inc case,30-08-2020,12-09-2020,4236.288
36,3 wk ahead inc death,30-08-2020,19-09-2020,67.712
36,3 wk ahead cum death,30-08-2020,19-09-2020,33139.319
36,3 wk ahead inc case,30-08-2020,19-09-2020,4217.72
36,4 wk ahead inc death,30-08-2020,26-09-2020,68.994
36,4 wk ahead cum death,30-08-2020,26-09-2020,33201.772
36,4 wk ahead inc case,30-08-2020,26-09-2020,4248.648
36,1 wk ahead inc death,06-09-2020,12-09-2020,97.119
36,1 wk ahead cum death,06-09-2020,12-09-2020,33084.119
36,1 wk ahead inc case,06-09-2020,12-09-2020,5249.575
36,2 wk ahead inc death,06-09-2020,19-09-2020,93.645
36,2 wk ahead cum death,06-09-2020,19-09-2020,33181.407
36,2 wk ahead inc case,06-09-2020,19-09-2020,5347.655
36,3 wk ahead inc death,06-09-2020,26-09-2020,97.202
36,3 wk ahead cum death,06-09-2020,26-09-2020,33274.433
36,3 wk ahead inc case,06-09-2020,26-09-2020,5388.981
36,4 wk ahead inc death,06-09-2020,03-10-2020,103.729
36,4 wk ahead cum death,06-09-2020,03-10-2020,33385.976
36,4 wk ahead inc case,06-09-2020,03-10-2020,5283.95
36,1 wk ahead inc death,13-09-2020,19-09-2020,38.937
36,1 wk ahead cum death,13-09-2020,19-09-2020,33061.937
36,1 wk ahead inc case,13-09-2020,19-09-2020,4899.039
36,2 wk ahead inc death,13-09-2020,26-09-2020,38.283
36,2 wk ahead cum death,13-09-2020,26-09-2020,33101.969
36,2 wk ahead inc case,13-09-2020,26-09-2020,4905.802
36,3 wk ahead inc death,13-09-2020,03-10-2020,32.436
36,3 wk ahead cum death,13-09-2020,03-10-2020,33133.183
36,3 wk ahead inc case,13-09-2020,03-10-2020,4745.794
36,4 wk ahead inc death,13-09-2020,10-10-2020,26.112
36,4 wk ahead cum death,13-09-2020,10-10-2020,33177.755
36,4 wk ahead inc case,13-09-2020,10-10-2020,4832.583
36,1 wk ahead inc death,20-09-2020,26-09-2020,56.184
36,1 wk ahead cum death,20-09-2020,26-09-2020,33137.184
36,1 wk ahead inc case,20-09-2020,26-09-2020,5271.098
36,2 wk ahead inc death,20-09-2020,03-10-2020,44.043
36,2 wk ahead cum death,20-09-2020,03-10-2020,33191.935
36,2 wk ahead inc case,20-09-2020,03-10-2020,5040.795
36,3 wk ahead inc death,20-09-2020,10-10-2020,57.653
36,3 wk ahead cum death,20-09-2020,10-10-2020,33233.312
36,3 wk ahead inc case,20-09-2020,10-10-2020,5169.027
36,4 wk ahead inc death,20-09-2020,17-10-2020,49.017
36,4 wk ahead cum death,20-09-2020,17-10-2020,33294.182
36,4 wk ahead inc case,20-09-2020,17-10-2020,5220.601
36,1 wk ahead inc death,27-09-2020,03-10-2020,42.53
36,1 wk ahead cum death,27-09-2020,03-10-2020,33167.53
36,1 wk ahead inc case,27-09-2020,03-10-2020,5783.077
36,2 wk ahead inc death,27-09-2020,10-10-2020,38.592
