location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,27-04-2020,02-05-2020,22225
36,2 wk ahead cum death,27-04-2020,09-05-2020,26073
36,3 wk ahead cum death,27-04-2020,16-05-2020,29131
36,4 wk ahead cum death,27-04-2020,23-05-2020,31459
36,5 wk ahead cum death,27-04-2020,30-05-2020,33175
36,6 wk ahead cum death,27-04-2020,06-06-2020,34412
36,1 wk ahead cum death,30-04-2020,09-05-2020,24306
36,2 wk ahead cum death,30-04-2020,16-05-2020,26782
36,3 wk ahead cum death,30-04-2020,23-05-2020,28567
36,4 wk ahead cum death,30-04-2020,30-05-2020,29806
36,5 wk ahead cum death,30-04-2020,06-06-2020,30640
36,1 wk ahead cum death,04-05-2020,09-05-2020,23513
36,2 wk ahead cum death,04-05-2020,16-05-2020,25836
36,3 wk ahead cum death,04-05-2020,23-05-2020,27493
36,4 wk ahead cum death,04-05-2020,30-05-2020,28629
36,5 wk ahead cum death,04-05-2020,06-06-2020,29382
36,6 wk ahead cum death,04-05-2020,13-06-2020,29869
36,1 wk ahead cum death,10-05-2020,16-05-2020,28508
36,2 wk ahead cum death,10-05-2020,23-05-2020,29476
36,3 wk ahead cum death,10-05-2020,30-05-2020,30042
36,4 wk ahead cum death,10-05-2020,06-06-2020,30362
36,5 wk ahead cum death,10-05-2020,13-06-2020,30537
36,1 wk ahead cum death,18-05-2020,23-05-2020,29166
36,2 wk ahead cum death,18-05-2020,30-05-2020,29722
36,3 wk ahead cum death,18-05-2020,06-06-2020,30036
36,4 wk ahead cum death,18-05-2020,13-06-2020,30209
36,5 wk ahead cum death,18-05-2020,20-06-2020,30301
36,1 wk ahead cum death,25-05-2020,30-05-2020,29513
36,2 wk ahead cum death,25-05-2020,06-06-2020,29837
36,3 wk ahead cum death,25-05-2020,13-06-2020,30016
36,4 wk ahead cum death,25-05-2020,20-06-2020,30113
36,5 wk ahead cum death,25-05-2020,27-06-2020,30163
36,1 wk ahead cum death,01-06-2020,06-06-2020,29979
36,2 wk ahead cum death,01-06-2020,13-06-2020,30171
36,3 wk ahead cum death,01-06-2020,20-06-2020,30275
36,4 wk ahead cum death,01-06-2020,27-06-2020,30330
36,5 wk ahead cum death,01-06-2020,04-07-2020,30359
36,1 wk ahead cum death,08-06-2020,13-06-2020,30544
36,2 wk ahead cum death,08-06-2020,20-06-2020,30659
36,3 wk ahead cum death,08-06-2020,27-06-2020,30721
36,4 wk ahead cum death,08-06-2020,04-07-2020,30753
36,5 wk ahead cum death,08-06-2020,11-07-2020,30770
36,1 wk ahead cum death,15-06-2020,20-06-2020,30921
36,2 wk ahead cum death,15-06-2020,27-06-2020,30985
36,3 wk ahead cum death,15-06-2020,04-07-2020,31019
36,4 wk ahead cum death,15-06-2020,11-07-2020,31036
36,5 wk ahead cum death,15-06-2020,18-07-2020,31046
36,1 wk ahead cum death,22-06-2020,27-06-2020,31175
36,2 wk ahead cum death,22-06-2020,04-07-2020,31207
36,3 wk ahead cum death,22-06-2020,11-07-2020,31224
36,4 wk ahead cum death,22-06-2020,18-07-2020,31233
36,5 wk ahead cum death,22-06-2020,25-07-2020,31237
36,1 wk ahead cum death,29-06-2020,04-07-2020,31425
36,2 wk ahead cum death,29-06-2020,11-07-2020,31443
36,3 wk ahead cum death,29-06-2020,18-07-2020,31453
36,4 wk ahead cum death,29-06-2020,25-07-2020,31458
36,5 wk ahead cum death,29-06-2020,01-08-2020,31460
36,1 wk ahead inc case,06-07-2020,11-07-2020,3444
36,2 wk ahead inc case,06-07-2020,18-07-2020,1770
36,3 wk ahead inc case,06-07-2020,25-07-2020,895
36,4 wk ahead inc case,06-07-2020,01-08-2020,447
36,5 wk ahead inc case,06-07-2020,08-08-2020,220
36,6 wk ahead inc case,06-07-2020,15-08-2020,108
36,7 wk ahead inc case,06-07-2020,22-08-2020,52
36,8 wk ahead inc case,06-07-2020,29-08-2020,25
36,1 wk ahead cum death,06-07-2020,11-07-2020,32452
36,2 wk ahead cum death,06-07-2020,18-07-2020,32606
36,3 wk ahead cum death,06-07-2020,25-07-2020,32684
36,4 wk ahead cum death,06-07-2020,01-08-2020,32723
36,5 wk ahead cum death,06-07-2020,08-08-2020,32742
36,6 wk ahead cum death,06-07-2020,15-08-2020,32751
36,7 wk ahead cum death,06-07-2020,22-08-2020,32755
36,8 wk ahead cum death,06-07-2020,29-08-2020,32757
36,1 wk ahead inc case,13-07-2020,18-07-2020,1770
36,2 wk ahead inc case,13-07-2020,25-07-2020,895
36,3 wk ahead inc case,13-07-2020,01-08-2020,447
36,4 wk ahead inc case,13-07-2020,08-08-2020,220
36,5 wk ahead inc case,13-07-2020,15-08-2020,108
36,6 wk ahead inc case,13-07-2020,22-08-2020,52
36,7 wk ahead inc case,13-07-2020,29-08-2020,25
36,8 wk ahead inc case,13-07-2020,05-09-2020,12
36,1 wk ahead cum death,13-07-2020,18-07-2020,32475
36,2 wk ahead cum death,13-07-2020,25-07-2020,32553
36,3 wk ahead cum death,13-07-2020,01-08-2020,32592
36,4 wk ahead cum death,13-07-2020,08-08-2020,32611
36,5 wk ahead cum death,13-07-2020,15-08-2020,32620
36,6 wk ahead cum death,13-07-2020,22-08-2020,32624
36,7 wk ahead cum death,13-07-2020,29-08-2020,32626
36,8 wk ahead cum death,13-07-2020,05-09-2020,32627
location,target,forecast_date,target_end_date,value
36,1 wk ahead inc case,20-07-2020,25-07-2020,895
36,2 wk ahead inc case,20-07-2020,01-08-2020,447
36,3 wk ahead inc case,20-07-2020,08-08-2020,220
36,4 wk ahead inc case,20-07-2020,15-08-2020,108
36,5 wk ahead inc case,20-07-2020,22-08-2020,52
36,6 wk ahead inc case,20-07-2020,29-08-2020,25
36,7 wk ahead inc case,20-07-2020,05-09-2020,12
36,8 wk ahead inc case,20-07-2020,12-09-2020,5
36,1 wk ahead cum death,20-07-2020,25-07-2020,32558
36,2 wk ahead cum death,20-07-2020,01-08-2020,32597
36,3 wk ahead cum death,20-07-2020,08-08-2020,32616
36,4 wk ahead cum death,20-07-2020,15-08-2020,32625
36,5 wk ahead cum death,20-07-2020,22-08-2020,32629
36,6 wk ahead cum death,20-07-2020,29-08-2020,32631
36,7 wk ahead cum death,20-07-2020,05-09-2020,32632
36,8 wk ahead cum death,20-07-2020,12-09-2020,32633
36,target,forecast_date,target_end_date,value
36,1 wk ahead inc case,27-07-2020,01-08-2020,334
36,2 wk ahead inc case,27-07-2020,08-08-2020,165
36,3 wk ahead inc case,27-07-2020,15-08-2020,80
36,4 wk ahead inc case,27-07-2020,22-08-2020,39
36,5 wk ahead inc case,27-07-2020,29-08-2020,19
36,6 wk ahead inc case,27-07-2020,05-09-2020,8
36,7 wk ahead inc case,27-07-2020,12-09-2020,5
36,1 wk ahead cum death,27-07-2020,01-08-2020,32651
36,2 wk ahead cum death,27-07-2020,08-08-2020,32664
36,3 wk ahead cum death,27-07-2020,15-08-2020,32670
36,4 wk ahead cum death,27-07-2020,22-08-2020,32673
36,5 wk ahead cum death,27-07-2020,29-08-2020,32674
36,6 wk ahead cum death,27-07-2020,05-09-2020,32675
36,7 wk ahead cum death,27-07-2020,12-09-2020,32675
36,1 wk ahead inc case,03-08-2020,08-08-2020,248
36,2 wk ahead inc case,03-08-2020,15-08-2020,121
36,3 wk ahead inc case,03-08-2020,22-08-2020,58
36,4 wk ahead inc case,03-08-2020,29-08-2020,28
36,5 wk ahead inc case,03-08-2020,05-09-2020,13
36,6 wk ahead inc case,03-08-2020,12-09-2020,6
36,1 wk ahead cum death,03-08-2020,08-08-2020,32726
36,2 wk ahead cum death,03-08-2020,15-08-2020,32735
36,3 wk ahead cum death,03-08-2020,22-08-2020,32739
36,4 wk ahead cum death,03-08-2020,29-08-2020,32741
36,5 wk ahead cum death,03-08-2020,05-09-2020,32742
36,6 wk ahead cum death,03-08-2020,12-09-2020,32742
36,1 wk ahead inc case,10-08-2020,15-08-2020,159
36,2 wk ahead inc case,10-08-2020,22-08-2020,77
36,3 wk ahead inc case,10-08-2020,29-08-2020,37
36,4 wk ahead inc case,10-08-2020,05-09-2020,17
36,5 wk ahead inc case,10-08-2020,12-09-2020,8
36,6 wk ahead inc case,10-08-2020,19-09-2020,4
36,7 wk ahead inc case,10-08-2020,26-09-2020,2
36,1 wk ahead cum death,10-08-2020,15-08-2020,32783
36,2 wk ahead cum death,10-08-2020,22-08-2020,32789
36,3 wk ahead cum death,10-08-2020,29-08-2020,32791
36,4 wk ahead cum death,10-08-2020,05-09-2020,32792
36,5 wk ahead cum death,10-08-2020,12-09-2020,32793
36,6 wk ahead cum death,10-08-2020,19-09-2020,32793
36,7 wk ahead cum death,10-08-2020,26-09-2020,32793
36,1 wk ahead inc case,17-08-2020,22-08-2020,105
36,2 wk ahead inc case,17-08-2020,29-08-2020,51
36,3 wk ahead inc case,17-08-2020,05-09-2020,24
36,4 wk ahead inc case,17-08-2020,12-09-2020,11
36,5 wk ahead inc case,17-08-2020,19-09-2020,5
36,6 wk ahead inc case,17-08-2020,26-09-2020,2
36,7 wk ahead inc case,17-08-2020,03-10-2020,2
36,1 wk ahead cum death,17-08-2020,22-08-2020,32846
36,2 wk ahead cum death,17-08-2020,29-08-2020,32850
36,3 wk ahead cum death,17-08-2020,05-09-2020,32852
36,4 wk ahead cum death,17-08-2020,12-09-2020,32853
36,5 wk ahead cum death,17-08-2020,19-09-2020,32853
36,6 wk ahead cum death,17-08-2020,26-09-2020,32853
36,7 wk ahead cum death,17-08-2020,03-10-2020,32853
36,1 wk ahead inc case,24-08-2020,29-08-2020,96
36,2 wk ahead inc case,24-08-2020,05-09-2020,46
36,3 wk ahead inc case,24-08-2020,12-09-2020,21
36,4 wk ahead inc case,24-08-2020,19-09-2020,10
36,5 wk ahead inc case,24-08-2020,26-09-2020,5
36,6 wk ahead inc case,24-08-2020,03-10-2020,2
36,7 wk ahead inc case,24-08-2020,10-10-2020,1
36,1 wk ahead cum death,24-08-2020,29-08-2020,32888
36,2 wk ahead cum death,24-08-2020,05-09-2020,32891
36,3 wk ahead cum death,24-08-2020,12-09-2020,32892
36,4 wk ahead cum death,24-08-2020,19-09-2020,32893
36,5 wk ahead cum death,24-08-2020,26-09-2020,32893
36,6 wk ahead cum death,24-08-2020,03-10-2020,32893
36,7 wk ahead cum death,24-08-2020,10-10-2020,32893
36,1 wk ahead inc case,31-08-2020,05-09-2020,74
36,2 wk ahead inc case,31-08-2020,12-09-2020,34
36,3 wk ahead inc case,31-08-2020,19-09-2020,17
36,4 wk ahead inc case,31-08-2020,26-09-2020,7
36,5 wk ahead inc case,31-08-2020,03-10-2020,4
36,6 wk ahead inc case,31-08-2020,10-10-2020,2
36,7 wk ahead inc case,31-08-2020,17-10-2020,0
36,1 wk ahead cum death,31-08-2020,05-09-2020,32955
36,2 wk ahead cum death,31-08-2020,12-09-2020,32957
36,3 wk ahead cum death,31-08-2020,19-09-2020,32958
36,4 wk ahead cum death,31-08-2020,26-09-2020,32959
36,5 wk ahead cum death,31-08-2020,03-10-2020,32959
36,6 wk ahead cum death,31-08-2020,10-10-2020,32959
36,7 wk ahead cum death,31-08-2020,17-10-2020,32959
36,1 wk ahead inc case,07-09-2020,12-09-2020,49
36,2 wk ahead inc case,07-09-2020,19-09-2020,22
36,3 wk ahead inc case,07-09-2020,26-09-2020,11
36,4 wk ahead inc case,07-09-2020,03-10-2020,5
36,5 wk ahead inc case,07-09-2020,10-10-2020,2
36,6 wk ahead inc case,07-09-2020,17-10-2020,1
36,7 wk ahead inc case,07-09-2020,24-10-2020,1
36,1 wk ahead cum death,07-09-2020,12-09-2020,32989
36,2 wk ahead cum death,07-09-2020,19-09-2020,32991
36,3 wk ahead cum death,07-09-2020,26-09-2020,32992
36,4 wk ahead cum death,07-09-2020,03-10-2020,32992
36,5 wk ahead cum death,07-09-2020,10-10-2020,32992
36,6 wk ahead cum death,07-09-2020,17-10-2020,32992
36,7 wk ahead cum death,07-09-2020,24-10-2020,32992
36,1 wk ahead inc case,14-09-2020,19-09-2020,31
36,2 wk ahead inc case,14-09-2020,26-09-2020,15
36,3 wk ahead inc case,14-09-2020,03-10-2020,6
36,4 wk ahead inc case,14-09-2020,10-10-2020,3
36,5 wk ahead inc case,14-09-2020,17-10-2020,2
36,6 wk ahead inc case,14-09-2020,24-10-2020,0
36,7 wk ahead inc case,14-09-2020,31-10-2020,1
36,1 wk ahead cum death,14-09-2020,19-09-2020,33025
36,2 wk ahead cum death,14-09-2020,26-09-2020,33026
36,3 wk ahead cum death,14-09-2020,03-10-2020,33026
36,4 wk ahead cum death,14-09-2020,10-10-2020,33026
36,5 wk ahead cum death,14-09-2020,17-10-2020,33026
36,6 wk ahead cum death,14-09-2020,24-10-2020,33027
36,7 wk ahead cum death,14-09-2020,31-10-2020,33027
36,1 wk ahead inc case,21-09-2020,26-09-2020,15
36,2 wk ahead inc case,21-09-2020,03-10-2020,6
36,3 wk ahead inc case,21-09-2020,10-10-2020,3
36,4 wk ahead inc case,21-09-2020,17-10-2020,2
36,5 wk ahead inc case,21-09-2020,24-10-2020,0
36,6 wk ahead inc case,21-09-2020,31-10-2020,1
36,7 wk ahead inc case,21-09-2020,07-11-2020,0
36,1 wk ahead cum death,21-09-2020,26-09-2020,33088
36,2 wk ahead cum death,21-09-2020,03-10-2020,33088
36,3 wk ahead cum death,21-09-2020,10-10-2020,33088
36,4 wk ahead cum death,21-09-2020,17-10-2020,33088
36,5 wk ahead cum death,21-09-2020,24-10-2020,33089
36,6 wk ahead cum death,21-09-2020,31-10-2020,33089
36,7 wk ahead cum death,21-09-2020,07-11-2020,33089
36,1 wk ahead inc case,28-09-2020,03-10-2020,15
36,2 wk ahead inc case,28-09-2020,10-10-2020,7
36,3 wk ahead inc case,28-09-2020,17-10-2020,3
36,4 wk ahead inc case,28-09-2020,24-10-2020,1
36,5 wk ahead inc case,28-09-2020,31-10-2020,1
36,6 wk ahead inc case,28-09-2020,07-11-2020,0
36,7 wk ahead inc case,28-09-2020,14-11-2020,0
36,1 wk ahead cum death,28-09-2020,03-10-2020,33132
36,2 wk ahead cum death,28-09-2020,10-10-2020,33133
36,3 wk ahead cum death,28-09-2020,17-10-2020,33133
36,4 wk ahead cum death,28-09-2020,24-10-2020,33133
36,5 wk ahead cum death,28-09-2020,31-10-2020,33133
36,6 wk ahead cum death,28-09-2020,07-11-2020,33133
36,7 wk ahead cum death,28-09-2020,14-11-2020,33133
36,1 wk ahead inc death,28-09-2020,03-10-2020,7
36,2 wk ahead inc death,28-09-2020,10-10-2020,1
36,3 wk ahead inc death,28-09-2020,17-10-2020,0
36,4 wk ahead inc death,28-09-2020,24-10-2020,0
36,5 wk ahead inc death,28-09-2020,31-10-2020,0
36,6 wk ahead inc death,28-09-2020,07-11-2020,0
36,7 wk ahead inc death,28-09-2020,14-11-2020,0
36,1 wk ahead inc case,05-10-2020,10-10-2020,2671
36,2 wk ahead inc case,05-10-2020,17-10-2020,1865
36,3 wk ahead inc case,05-10-2020,24-10-2020,1215
36,4 wk ahead inc case,05-10-2020,31-10-2020,741
36,5 wk ahead inc case,05-10-2020,07-11-2020,425
36,6 wk ahead inc case,05-10-2020,14-11-2020,230
36,1 wk ahead cum death,05-10-2020,10-10-2020,33277
36,2 wk ahead cum death,05-10-2020,17-10-2020,33342
36,3 wk ahead cum death,05-10-2020,24-10-2020,33388
36,4 wk ahead cum death,05-10-2020,31-10-2020,33420
36,5 wk ahead cum death,05-10-2020,07-11-2020,33440
36,6 wk ahead cum death,05-10-2020,14-11-2020,33452
36,1 wk ahead inc death,05-10-2020,10-10-2020,80
36,2 wk ahead inc death,05-10-2020,17-10-2020,65
36,3 wk ahead inc death,05-10-2020,24-10-2020,46
36,4 wk ahead inc death,05-10-2020,31-10-2020,32
36,5 wk ahead inc death,05-10-2020,07-11-2020,20
36,6 wk ahead inc death,05-10-2020,14-11-2020,12
36,1 wk ahead inc case,12-10-2020,17-10-2020,4157
36,2 wk ahead inc case,12-10-2020,24-10-2020,3237
36,3 wk ahead inc case,12-10-2020,31-10-2020,2366
36,4 wk ahead inc case,12-10-2020,07-11-2020,1622
36,5 wk ahead inc case,12-10-2020,14-11-2020,1045
36,6 wk ahead inc case,12-10-2020,21-11-2020,634
36,7 wk ahead inc case,12-10-2020,28-11-2020,363
36,1 wk ahead cum death,12-10-2020,17-10-2020,33391
36,2 wk ahead cum death,12-10-2020,24-10-2020,33486
36,3 wk ahead cum death,12-10-2020,31-10-2020,33560
36,4 wk ahead cum death,12-10-2020,07-11-2020,33616
36,5 wk ahead cum death,12-10-2020,14-11-2020,33655
36,6 wk ahead cum death,12-10-2020,21-11-2020,33681
36,7 wk ahead cum death,12-10-2020,28-11-2020,33698
36,1 wk ahead inc death,12-10-2020,17-10-2020,98
36,2 wk ahead inc death,12-10-2020,24-10-2020,95
36,3 wk ahead inc death,12-10-2020,31-10-2020,74
36,4 wk ahead inc death,12-10-2020,07-11-2020,56
36,5 wk ahead inc death,12-10-2020,14-11-2020,39
36,6 wk ahead inc death,12-10-2020,21-11-2020,26
36,7 wk ahead inc death,12-10-2020,28-11-2020,17
