location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,12-04-2020,18-04-2020,12010
36,2 wk ahead cum death,12-04-2020,25-04-2020,16944
36,3 wk ahead cum death,12-04-2020,02-05-2020,19375
36,4 wk ahead cum death,12-04-2020,09-05-2020,20468
36,5 wk ahead cum death,12-04-2020,16-05-2020,20993
36,6 wk ahead cum death,12-04-2020,23-05-2020,21311
36,1 wk ahead cum death,16-04-2020,25-04-2020,19314
36,2 wk ahead cum death,16-04-2020,02-05-2020,23571
36,3 wk ahead cum death,16-04-2020,09-05-2020,26467
36,4 wk ahead cum death,16-04-2020,16-05-2020,28361
36,5 wk ahead cum death,16-04-2020,23-05-2020,29410
36,1 wk ahead cum death,19-04-2020,25-04-2020,19217
36,2 wk ahead cum death,19-04-2020,02-05-2020,25411
36,3 wk ahead cum death,19-04-2020,09-05-2020,30033
36,4 wk ahead cum death,19-04-2020,16-05-2020,32930
36,5 wk ahead cum death,19-04-2020,23-05-2020,34511
36,6 wk ahead cum death,19-04-2020,30-05-2020,35392
36,1 wk ahead cum death,23-04-2020,02-05-2020,24364
36,2 wk ahead cum death,23-04-2020,09-05-2020,29347
36,3 wk ahead cum death,23-04-2020,16-05-2020,32349
36,4 wk ahead cum death,23-04-2020,23-05-2020,33960
36,5 wk ahead cum death,23-04-2020,30-05-2020,34967
36,1 wk ahead cum death,26-04-2020,02-05-2020,20552
36,2 wk ahead cum death,26-04-2020,09-05-2020,23721
36,3 wk ahead cum death,26-04-2020,16-05-2020,26158
36,4 wk ahead cum death,26-04-2020,23-05-2020,28005
36,5 wk ahead cum death,26-04-2020,30-05-2020,29288
36,6 wk ahead cum death,26-04-2020,06-06-2020,30098
36,1 wk ahead cum death,07-05-2020,16-05-2020,28053
36,2 wk ahead cum death,07-05-2020,23-05-2020,29442
36,3 wk ahead cum death,07-05-2020,30-05-2020,30422
36,4 wk ahead cum death,07-05-2020,06-06-2020,31132
36,5 wk ahead cum death,07-05-2020,13-06-2020,31631
36,1 wk ahead cum death,10-05-2020,16-05-2020,27635
36,2 wk ahead cum death,10-05-2020,23-05-2020,29055
36,3 wk ahead cum death,10-05-2020,30-05-2020,30043
36,4 wk ahead cum death,10-05-2020,06-06-2020,30757
36,5 wk ahead cum death,10-05-2020,13-06-2020,31306
36,6 wk ahead cum death,10-05-2020,20-06-2020,31729
36,1 wk ahead cum death,17-05-2020,23-05-2020,28178
36,2 wk ahead cum death,17-05-2020,30-05-2020,29079
36,3 wk ahead cum death,17-05-2020,06-06-2020,29668
36,4 wk ahead cum death,17-05-2020,13-06-2020,30056
36,1 wk ahead cum death,21-05-2020,30-05-2020,29171
36,2 wk ahead cum death,21-05-2020,06-06-2020,29766
36,3 wk ahead cum death,21-05-2020,13-06-2020,30152
36,1 wk ahead cum death,24-05-2020,30-05-2020,30010
36,2 wk ahead cum death,24-05-2020,06-06-2020,30648
36,3 wk ahead cum death,24-05-2020,13-06-2020,31058
36,4 wk ahead cum death,24-05-2020,20-06-2020,31368
36,1 wk ahead cum death,28-05-2020,06-06-2020,30307
36,2 wk ahead cum death,28-05-2020,13-06-2020,30695
36,3 wk ahead cum death,28-05-2020,20-06-2020,30974
36,1 wk ahead cum death,31-05-2020,06-06-2020,30200
36,2 wk ahead cum death,31-05-2020,13-06-2020,30654
36,3 wk ahead cum death,31-05-2020,20-06-2020,31028
36,4 wk ahead cum death,31-05-2020,27-06-2020,31372
36,1 wk ahead cum death,04-06-2020,13-06-2020,30742
36,2 wk ahead cum death,04-06-2020,20-06-2020,31103
36,3 wk ahead cum death,04-06-2020,27-06-2020,31415
36,1 wk ahead cum death,07-06-2020,13-06-2020,30602
36,2 wk ahead cum death,07-06-2020,20-06-2020,30822
36,3 wk ahead cum death,07-06-2020,27-06-2020,30983
36,4 wk ahead cum death,07-06-2020,04-07-2020,31105
36,1 wk ahead cum death,11-06-2020,20-06-2020,30879
36,2 wk ahead cum death,11-06-2020,27-06-2020,31031
36,3 wk ahead cum death,11-06-2020,04-07-2020,31140
36,1 wk ahead cum death,14-06-2020,20-06-2020,31032
36,2 wk ahead cum death,14-06-2020,27-06-2020,31193
36,3 wk ahead cum death,14-06-2020,04-07-2020,31325
36,4 wk ahead cum death,14-06-2020,11-07-2020,31439
36,1 wk ahead cum death,18-06-2020,27-06-2020,31139
