location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,13-08-2020,22-08-2020,32779.21484
36,1 wk ahead cum death,16-08-2020,22-08-2020,32867.96484
36,2 wk ahead cum death,16-08-2020,29-08-2020,32902.85547
36,1 wk ahead cum death,23-08-2020,29-08-2020,32850.50781
36,2 wk ahead cum death,23-08-2020,05-09-2020,32850.50781
36,1 wk ahead cum death,30-08-2020,05-09-2020,32930.92578
36,2 wk ahead cum death,30-08-2020,12-09-2020,32930.92578
36,3 wk ahead cum death,30-08-2020,19-09-2020,32930.92578
36,4 wk ahead cum death,30-08-2020,26-09-2020,32930.92578
36,1 wk ahead cum death,06-09-2020,12-09-2020,32978.44141
36,2 wk ahead cum death,06-09-2020,19-09-2020,32978.44141
36,3 wk ahead cum death,06-09-2020,26-09-2020,32978.44141
36,4 wk ahead cum death,06-09-2020,03-10-2020,32978.44141
36,1 wk ahead cum death,13-09-2020,19-09-2020,33010.05469
36,2 wk ahead cum death,13-09-2020,26-09-2020,33010.05469
36,3 wk ahead cum death,13-09-2020,03-10-2020,33010.05469
36,1 wk ahead cum death,20-09-2020,26-09-2020,33021.63672
36,2 wk ahead cum death,20-09-2020,03-10-2020,33021.63672
36,3 wk ahead cum death,20-09-2020,10-10-2020,33021.63672
36,4 wk ahead cum death,20-09-2020,17-10-2020,33021.63672
36,1 wk ahead cum death,27-09-2020,03-10-2020,33179.44922
36,2 wk ahead cum death,27-09-2020,10-10-2020,33243.83594
36,3 wk ahead cum death,27-09-2020,17-10-2020,33310.88281
36,4 wk ahead cum death,27-09-2020,24-10-2020,33376.17578
36,1 wk ahead cum death,04-10-2020,10-10-2020,33182.22656
36,2 wk ahead cum death,04-10-2020,17-10-2020,33182.22656
36,3 wk ahead cum death,04-10-2020,24-10-2020,33211.05469
36,4 wk ahead cum death,04-10-2020,31-10-2020,33273.44922
36,1 wk ahead inc death,04-10-2020,10-10-2020,0
36,2 wk ahead inc death,04-10-2020,17-10-2020,18.34765625
36,3 wk ahead inc death,04-10-2020,24-10-2020,50.05859375
36,4 wk ahead inc death,04-10-2020,31-10-2020,62.39453125
36,1 wk ahead cum death,11-10-2020,17-10-2020,33403.84375
36,2 wk ahead cum death,11-10-2020,24-10-2020,33536.46484
36,3 wk ahead cum death,11-10-2020,31-10-2020,33671.5625
36,4 wk ahead cum death,11-10-2020,07-11-2020,33801.9375
36,1 wk ahead inc case,11-10-2020,17-10-2020,4604.6875
36,2 wk ahead inc case,11-10-2020,24-10-2020,3705.71875
36,3 wk ahead inc case,11-10-2020,31-10-2020,3421.09375
36,4 wk ahead inc case,11-10-2020,07-11-2020,3079.125
36,1 wk ahead inc death,11-10-2020,17-10-2020,89.140625
36,2 wk ahead inc death,11-10-2020,24-10-2020,132.6210938
36,3 wk ahead inc death,11-10-2020,31-10-2020,135.0976563
36,4 wk ahead inc death,11-10-2020,07-11-2020,130.375
