location,target,forecast_date,target_end_date,value
36,1 wk ahead inc death,15-06-2020,20-06-2020,512
36,2 wk ahead inc death,15-06-2020,27-06-2020,466
36,3 wk ahead inc death,15-06-2020,04-07-2020,422
36,4 wk ahead inc death,15-06-2020,11-07-2020,389
36,1 wk ahead cum death,15-06-2020,20-06-2020,31485
36,2 wk ahead cum death,15-06-2020,27-06-2020,31947
36,3 wk ahead cum death,15-06-2020,04-07-2020,32375
36,4 wk ahead cum death,15-06-2020,11-07-2020,32770
36,1 wk ahead inc death,22-06-2020,27-06-2020,377
36,2 wk ahead inc death,22-06-2020,04-07-2020,328
36,3 wk ahead inc death,22-06-2020,11-07-2020,292
36,4 wk ahead inc death,22-06-2020,18-07-2020,253
36,1 wk ahead cum death,22-06-2020,27-06-2020,31638
36,2 wk ahead cum death,22-06-2020,04-07-2020,31965
36,3 wk ahead cum death,22-06-2020,11-07-2020,32262
36,4 wk ahead cum death,22-06-2020,18-07-2020,32514
36,1 wk ahead inc death,29-06-2020,04-07-2020,246
36,2 wk ahead inc death,29-06-2020,11-07-2020,180.3333333
36,3 wk ahead inc death,29-06-2020,18-07-2020,144.6666667
36,4 wk ahead inc death,29-06-2020,25-07-2020,121.3333333
36,5 wk ahead inc death,29-06-2020,01-08-2020,101.3333333
36,1 wk ahead cum death,29-06-2020,04-07-2020,31593
36,2 wk ahead cum death,29-06-2020,11-07-2020,31773.66667
36,3 wk ahead cum death,29-06-2020,18-07-2020,31920
36,4 wk ahead cum death,29-06-2020,25-07-2020,32040.33333
36,5 wk ahead cum death,29-06-2020,01-08-2020,32142.33333
36,1 wk ahead inc death,06-07-2020,11-07-2020,202.6666667
36,2 wk ahead inc death,06-07-2020,18-07-2020,178
36,3 wk ahead inc death,06-07-2020,25-07-2020,153.6666667
36,4 wk ahead inc death,06-07-2020,01-08-2020,125.3333333
36,5 wk ahead inc death,06-07-2020,08-08-2020,111
36,1 wk ahead cum death,06-07-2020,11-07-2020,32490.66667
36,2 wk ahead cum death,06-07-2020,18-07-2020,32669
36,3 wk ahead cum death,06-07-2020,25-07-2020,32822.66667
36,4 wk ahead cum death,06-07-2020,01-08-2020,32950.33333
36,5 wk ahead cum death,06-07-2020,08-08-2020,33060.33333
36,1 wk ahead inc death,13-07-2020,18-07-2020,177
36,2 wk ahead inc death,13-07-2020,25-07-2020,162
36,3 wk ahead inc death,13-07-2020,01-08-2020,141
36,4 wk ahead inc death,13-07-2020,08-08-2020,122
36,5 wk ahead inc death,13-07-2020,15-08-2020,111
36,1 wk ahead cum death,13-07-2020,18-07-2020,32527
36,2 wk ahead cum death,13-07-2020,25-07-2020,32690
36,3 wk ahead cum death,13-07-2020,01-08-2020,32832
36,4 wk ahead cum death,13-07-2020,08-08-2020,32955
36,5 wk ahead cum death,13-07-2020,15-08-2020,33068
36,1 wk ahead inc death,19-07-2020,25-07-2020,142
36,2 wk ahead inc death,19-07-2020,01-08-2020,129
36,3 wk ahead inc death,19-07-2020,08-08-2020,97
36,4 wk ahead inc death,19-07-2020,15-08-2020,94
36,1 wk ahead cum death,19-07-2020,25-07-2020,32643
36,2 wk ahead cum death,19-07-2020,01-08-2020,32772
36,3 wk ahead cum death,19-07-2020,08-08-2020,32871
36,4 wk ahead cum death,19-07-2020,15-08-2020,32965
36,1 wk ahead inc death,26-07-2020,01-08-2020,123
36,2 wk ahead inc death,26-07-2020,08-08-2020,111
36,3 wk ahead inc death,26-07-2020,15-08-2020,99
36,4 wk ahead inc death,26-07-2020,22-08-2020,89
36,1 wk ahead cum death,26-07-2020,01-08-2020,32775
36,2 wk ahead cum death,26-07-2020,08-08-2020,32886
36,3 wk ahead cum death,26-07-2020,15-08-2020,32984
36,4 wk ahead cum death,26-07-2020,22-08-2020,33074
36,1 wk ahead inc death,03-08-2020,08-08-2020,77
36,2 wk ahead inc death,03-08-2020,15-08-2020,66
36,3 wk ahead inc death,03-08-2020,22-08-2020,60
36,4 wk ahead inc death,03-08-2020,29-08-2020,52
36,1 wk ahead cum death,03-08-2020,08-08-2020,32820
36,2 wk ahead cum death,03-08-2020,15-08-2020,32884
36,3 wk ahead cum death,03-08-2020,22-08-2020,32942
36,4 wk ahead cum death,03-08-2020,29-08-2020,32994
36,1 wk ahead inc death,10-08-2020,15-08-2020,43
36,2 wk ahead inc death,10-08-2020,22-08-2020,33
36,3 wk ahead inc death,10-08-2020,29-08-2020,23
36,4 wk ahead inc death,10-08-2020,05-09-2020,17
36,1 wk ahead cum death,10-08-2020,15-08-2020,32948
36,2 wk ahead cum death,10-08-2020,22-08-2020,32938
36,3 wk ahead cum death,10-08-2020,29-08-2020,32928
36,4 wk ahead cum death,10-08-2020,05-09-2020,32922
36,1 wk ahead inc death,17-08-2020,22-08-2020,47
