location,target,forecast_date,target_end_date,value
36,1 wk ahead inc death,2020-05-04,2020-05-09,317.85
36,1 wk ahead cum death,2020-05-04,2020-05-09,18354.8466
36,1 wk ahead inc death,2020-07-06,2020-07-11,239.78
36,1 wk ahead cum death,2020-07-06,2020-07-11,31942.7826
36,1 wk ahead inc death,2020-07-13,2020-07-18,344.2
36,1 wk ahead cum death,2020-07-13,2020-07-18,32687.2034
36,1 wk ahead inc death,2020-07-20,2020-07-25,210.45
36,1 wk ahead cum death,2020-07-20,2020-07-25,32688.4536
36,1 wk ahead inc death,2020-07-27,2020-08-01,162.53
36,1 wk ahead cum death,2020-07-27,2020-08-01,32770.5275
36,1 wk ahead inc death,2020-08-03,2020-08-08,147.58
36,1 wk ahead cum death,2020-08-03,2020-08-08,32841.5769
36,1 wk ahead inc death,2020-08-10,2020-08-15,165.86
36,1 wk ahead cum death,2020-08-10,2020-08-15,32933.8585
36,1 wk ahead inc death,2020-08-17,2020-08-22,163.99
36,1 wk ahead cum death,2020-08-17,2020-08-22,32996.9922
36,1 wk ahead inc death,2020-08-24,2020-08-29,94.06
36,1 wk ahead cum death,2020-08-24,2020-08-29,32965.0564
36,1 wk ahead inc death,2020-08-31,2020-09-05,82.13
36,1 wk ahead cum death,2020-08-31,2020-09-05,33020.1252
36,1 wk ahead inc death,2020-09-07,2020-09-12,85.35
36,1 wk ahead cum death,2020-09-07,2020-09-12,33072.354
36,1 wk ahead inc death,2020-09-14,2020-09-19,75.26
36,1 wk ahead cum death,2020-09-14,2020-09-19,33098.2586
36,1 wk ahead inc death,2020-09-21,2020-09-26,42.48
36,1 wk ahead cum death,2020-09-21,2020-09-26,33123.4792
36,1 wk ahead inc death,2020-09-28,2020-10-03,61.24
36,1 wk ahead cum death,2020-09-28,2020-10-03,33186.2427
36,1 wk ahead inc death,2020-10-05,2020-10-10,72.89
36,1 wk ahead cum death,2020-10-05,2020-10-10,33269.8856
36,1 wk ahead inc death,2020-10-12,2020-10-17,69.05
36,1 wk ahead cum death,2020-10-12,2020-10-17,33362.0453
