location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,2020-03-27,2020-04-04,3192.3
36,1 wk ahead cum death,2020-03-29,2020-04-04,3505.206
36,1 wk ahead cum death,2020-03-30,2020-04-04,3547.406
36,1 wk ahead cum death,2020-03-31,2020-04-11,9054.161
36,1 wk ahead cum death,2020-04-01,2020-04-11,9119.143
36,1 wk ahead cum death,2020-04-05,2020-04-11,9325.921
36,1 wk ahead cum death,2020-04-07,2020-04-18,12203.573
36,1 wk ahead cum death,2020-04-09,2020-04-18,12184.895
36,1 wk ahead cum death,2020-04-12,2020-04-18,12795.945
36,1 wk ahead cum death,2020-04-16,2020-04-25,18689.964
36,1 wk ahead cum death,2020-04-20,2020-04-25,21013.763
36,1 wk ahead cum death,2020-04-21,2020-05-02,22644.961
36,1 wk ahead cum death,2020-04-27,2020-05-02,23398.986
36,1 wk ahead cum death,2020-04-28,2020-05-09,24172.636
36,1 wk ahead cum death,2020-05-04,2020-05-09,27537.421
36,1 wk ahead cum death,2020-05-08,2020-05-16,28845.743
36,1 wk ahead cum death,2020-05-12,2020-05-23,30425.996
36,1 wk ahead inc death,2020-05-18,2020-05-23,853.986
36,1 wk ahead cum death,2020-05-18,2020-05-23,29705.59
36,1 wk ahead inc death,2020-05-29,2020-06-06,597.82
36,1 wk ahead cum death,2020-05-29,2020-06-06,30456.24
36,1 wk ahead inc death,2020-06-05,2020-06-13,411.2803
36,1 wk ahead cum death,2020-06-05,2020-06-13,30841.33
36,1 wk ahead inc death,2020-06-08,2020-06-13,312.4810725402
36,1 wk ahead cum death,2020-06-08,2020-06-13,30915.9980913155
36,1 wk ahead inc death,2020-06-10,2020-06-20,393.7846656499
36,1 wk ahead cum death,2020-06-10,2020-06-20,31259.9409438512
36,1 wk ahead inc death,2020-06-15,2020-06-20,344.1747848101
36,1 wk ahead cum death,2020-06-15,2020-06-20,31245.5745073719
36,1 wk ahead inc death,2020-06-22,2020-06-27,199.7245012276
36,1 wk ahead cum death,2020-06-22,2020-06-27,31201.6651709631
36,1 wk ahead inc death,2020-06-24,2020-07-04,176.2230682184
36,1 wk ahead cum death,2020-06-24,2020-07-04,31377.0280172028
36,1 wk ahead inc death,2020-06-29,2020-07-04,246.6818391803
36,1 wk ahead cum death,2020-06-29,2020-07-04,31604.3017420751
36,1 wk ahead inc death,2020-07-06,2020-07-11,99.018864103
36,1 wk ahead cum death,2020-07-06,2020-07-11,31479.8620409394
36,1 wk ahead inc death,2020-07-17,2020-07-25,246.9859092603
36,1 wk ahead cum death,2020-07-17,2020-07-25,32862.1954799663
36,1 wk ahead inc case,2020-07-17,2020-07-25,24252.2727614485
36,1 wk ahead inc death,2020-07-23,2020-08-01,217.88326
36,1 wk ahead cum death,2020-07-23,2020-08-01,32990.58285
36,1 wk ahead inc case,2020-07-23,2020-08-01,22870.289531882
36,1 wk ahead inc death,2020-07-30,2020-08-08,199.9833816495
36,1 wk ahead cum death,2020-07-30,2020-08-08,32967.9273205716
36,1 wk ahead inc case,2020-07-30,2020-08-08,16587.6241866486
36,1 wk ahead inc death,2020-08-06,2020-08-15,107.1152003341
36,1 wk ahead cum death,2020-08-06,2020-08-15,32829.9356860185
36,1 wk ahead inc case,2020-08-06,2020-08-15,6274.6052387278
36,1 wk ahead inc death,2020-08-24,2020-08-29,5.5695863974
36,1 wk ahead cum death,2020-08-24,2020-08-29,32628.950235158
36,1 wk ahead inc death,2020-08-27,2020-09-05,47.8259095742
36,1 wk ahead cum death,2020-08-27,2020-09-05,32938.5230459517
36,1 wk ahead inc death,2020-09-03,2020-09-12,70.7360862632
36,1 wk ahead cum death,2020-09-03,2020-09-12,33024.8255349673
36,1 wk ahead inc death,2020-09-21,2020-09-26,73.0054287071
36,1 wk ahead cum death,2020-09-21,2020-09-26,33193.063045761
36,1 wk ahead inc death,2020-09-28,2020-10-03,60.3169189463
36,1 wk ahead cum death,2020-09-28,2020-10-03,33097.4110352742
36,1 wk ahead inc death,2020-10-16,2020-10-24,86.5294854022
36,1 wk ahead cum death,2020-10-16,2020-10-24,33410.6169682755
