location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,2020-04-26,2020-05-02,21747
36,1 wk ahead cum death,2020-05-01,2020-05-09,21669
36,1 wk ahead cum death,2020-05-17,2020-05-23,30410
36,1 wk ahead cum death,2020-05-24,2020-05-30,30320
36,1 wk ahead cum death,2020-05-31,2020-06-06,31056
36,1 wk ahead cum death,2020-06-07,2020-06-13,31004
36,1 wk ahead cum death,2020-06-14,2020-06-20,31329
36,1 wk ahead cum death,2020-06-21,2020-06-27,31418
36,1 wk ahead cum death,2020-06-28,2020-07-04,31503
36,1 wk ahead cum death,2020-07-05,2020-07-11,32875
36,1 wk ahead inc death,2020-07-05,2020-07-11,669
36,1 wk ahead inc case,2020-07-05,2020-07-11,4670
36,1 wk ahead cum death,2020-07-12,2020-07-18,32527
36,1 wk ahead inc death,2020-07-12,2020-07-18,473
36,1 wk ahead inc case,2020-07-12,2020-07-18,26135
36,1 wk ahead cum death,2020-07-19,2020-07-25,32773
36,1 wk ahead inc death,2020-07-19,2020-07-25,265
36,1 wk ahead inc case,2020-07-19,2020-07-25,4077
36,1 wk ahead cum death,2020-07-26,2020-08-01,32805
36,1 wk ahead inc death,2020-07-26,2020-08-01,178
36,1 wk ahead inc case,2020-07-26,2020-08-01,4119
36,1 wk ahead cum death,2020-08-02,2020-08-08,32847
36,1 wk ahead inc death,2020-08-02,2020-08-08,135
36,1 wk ahead inc case,2020-08-02,2020-08-08,3907
36,1 wk ahead cum death,2020-08-16,2020-08-22,32930
36,1 wk ahead inc death,2020-08-16,2020-08-22,88
36,1 wk ahead inc case,2020-08-16,2020-08-22,3358
36,1 wk ahead cum death,2020-08-23,2020-08-29,32986
36,1 wk ahead inc death,2020-08-23,2020-08-29,95
36,1 wk ahead inc case,2020-08-23,2020-08-29,3617
36,1 wk ahead cum death,2020-08-30,2020-09-05,33048
36,1 wk ahead inc death,2020-08-30,2020-09-05,99
36,1 wk ahead inc case,2020-08-30,2020-09-05,3739
36,1 wk ahead cum death,2020-09-06,2020-09-12,33061
36,1 wk ahead inc death,2020-09-06,2020-09-12,65
36,1 wk ahead inc case,2020-09-06,2020-09-12,2951
36,1 wk ahead cum death,2020-09-13,2020-09-19,33171
36,1 wk ahead inc death,2020-09-13,2020-09-19,118
36,1 wk ahead inc case,2020-09-13,2020-09-19,2990
36,1 wk ahead cum death,2020-09-20,2020-09-26,33251
36,1 wk ahead inc death,2020-09-20,2020-09-26,140
36,1 wk ahead inc case,2020-09-20,2020-09-26,3283
36,1 wk ahead cum death,2020-09-27,2020-10-03,33188
36,1 wk ahead inc death,2020-09-27,2020-10-03,69
36,1 wk ahead inc case,2020-09-27,2020-10-03,3043
36,1 wk ahead cum death,2020-10-04,2020-10-10,33257
36,1 wk ahead inc death,2020-10-04,2020-10-10,74
36,1 wk ahead inc case,2020-10-04,2020-10-10,4240
36,1 wk ahead cum death,2020-10-11,2020-10-17,33343
36,1 wk ahead inc death,2020-10-11,2020-10-17,87
36,1 wk ahead inc case,2020-10-11,2020-10-17,7545
