location,target,forecast_date,target_end_date,value
36,1 wk ahead inc death,2020-07-27,2020-08-01,131.9565690636
36,1 wk ahead cum death,2020-07-27,2020-08-01,32739.9565690636
36,1 wk ahead inc death,2020-08-03,2020-08-08,108.7955304659
36,1 wk ahead cum death,2020-08-03,2020-08-08,32802.7955304659
36,1 wk ahead inc death,2020-08-10,2020-08-15,103.3840209549
36,1 wk ahead cum death,2020-08-10,2020-08-15,32871.3840209549
36,1 wk ahead inc death,2020-08-17,2020-08-22,108.8627535757
36,1 wk ahead cum death,2020-08-17,2020-08-22,32941.8627535757
36,1 wk ahead inc death,2020-08-24,2020-08-29,60.788065505
36,1 wk ahead cum death,2020-08-24,2020-08-29,32931.788065505
36,1 wk ahead inc death,2020-08-31,2020-09-05,32.9464564088
36,1 wk ahead cum death,2020-08-31,2020-09-05,32970.9464564088
36,1 wk ahead inc death,2020-09-07,2020-09-12,46.2478186353
36,1 wk ahead cum death,2020-09-07,2020-09-12,33033.2478186353
36,1 wk ahead inc case,2020-09-07,2020-09-12,5076.4435042109
36,1 wk ahead inc death,2020-09-14,2020-09-19,58.4508706307
36,1 wk ahead cum death,2020-09-14,2020-09-19,33081.4508706307
36,1 wk ahead inc case,2020-09-14,2020-09-19,5648.8435498184
36,1 wk ahead inc death,2020-09-21,2020-09-26,66.3337495
36,1 wk ahead cum death,2020-09-21,2020-09-26,33147.3337495
36,1 wk ahead inc case,2020-09-21,2020-09-26,5487.1576318943
36,1 wk ahead inc death,2020-09-28,2020-10-03,50.9024457107
36,1 wk ahead cum death,2020-09-28,2020-10-03,33175.9024457107
36,1 wk ahead inc case,2020-09-28,2020-10-03,6106.8908459306
36,1 wk ahead inc death,2020-10-05,2020-10-10,43.0592283936
36,1 wk ahead cum death,2020-10-05,2020-10-10,33240.0592283936
36,1 wk ahead inc case,2020-10-05,2020-10-10,7238.9165389278
36,1 wk ahead inc death,2020-10-12,2020-10-17,94.4531735279
36,1 wk ahead cum death,2020-10-12,2020-10-17,33387.4531735279
36,1 wk ahead inc case,2020-10-12,2020-10-17,13174.0193617792
