location,target,forecast_date,target_end_date,value
36,1 wk ahead inc death,2020-05-17,2020-05-23,1687.5377777778
36,1 wk ahead cum death,2020-05-17,2020-05-23,25514.1744444444
36,1 wk ahead inc death,2020-05-24,2020-05-30,737.5775
36,1 wk ahead cum death,2020-05-24,2020-05-30,29206.555
36,1 wk ahead inc death,2020-05-31,2020-06-06,557.78
36,1 wk ahead cum death,2020-05-31,2020-06-06,29490.78
36,1 wk ahead inc death,2020-06-07,2020-06-13,449.64
36,1 wk ahead cum death,2020-06-07,2020-06-13,30550.69
36,1 wk ahead inc death,2020-06-14,2020-06-20,402.7933333333
36,1 wk ahead cum death,2020-06-14,2020-06-20,30945.5266666667
36,1 wk ahead inc death,2020-06-28,2020-07-04,354.44
36,1 wk ahead cum death,2020-06-28,2020-07-04,31339.0166666667
36,1 wk ahead inc death,2020-07-05,2020-07-11,323.4866666667
36,1 wk ahead cum death,2020-07-05,2020-07-11,32072.1166666667
36,1 wk ahead inc case,2020-07-05,2020-07-11,14720.46
36,1 wk ahead inc death,2020-07-12,2020-07-18,222.8933333333
36,1 wk ahead cum death,2020-07-12,2020-07-18,32118.5333333333
36,1 wk ahead inc case,2020-07-12,2020-07-18,10928.48
36,1 wk ahead inc death,2020-07-19,2020-07-25,211.4333333333
36,1 wk ahead cum death,2020-07-19,2020-07-25,32266.7733333333
36,1 wk ahead inc case,2020-07-19,2020-07-25,10410.09
36,1 wk ahead inc case,2020-07-26,2020-08-01,9988.8533333333
36,1 wk ahead inc death,2020-07-26,2020-08-01,187.7733333333
36,1 wk ahead cum death,2020-07-26,2020-08-01,32363.51
36,1 wk ahead inc case,2020-08-02,2020-08-08,8465.4733333333
36,1 wk ahead inc death,2020-08-02,2020-08-08,178.7533333333
36,1 wk ahead cum death,2020-08-02,2020-08-08,32454.24
36,1 wk ahead inc case,2020-08-09,2020-08-15,8565.7266666667
36,1 wk ahead inc death,2020-08-09,2020-08-15,158.81
36,1 wk ahead cum death,2020-08-09,2020-08-15,32492.7566666667
36,1 wk ahead inc case,2020-08-16,2020-08-22,7232.59
36,1 wk ahead inc death,2020-08-16,2020-08-22,147.3866666667
36,1 wk ahead cum death,2020-08-16,2020-08-22,32552.38
36,1 wk ahead inc case,2020-08-23,2020-08-29,7163.6333333333
36,1 wk ahead inc death,2020-08-23,2020-08-29,121.4533333333
36,1 wk ahead cum death,2020-08-23,2020-08-29,32587.19
36,1 wk ahead inc case,2020-08-30,2020-09-05,6715.7233333333
36,1 wk ahead inc death,2020-08-30,2020-09-05,117.8066666667
36,1 wk ahead cum death,2020-08-30,2020-09-05,32636.6033333333
36,1 wk ahead inc case,2020-09-06,2020-09-12,7030.8766666667
36,1 wk ahead inc death,2020-09-06,2020-09-12,121.09
36,1 wk ahead cum death,2020-09-06,2020-09-12,32689.99
36,1 wk ahead inc case,2020-09-13,2020-09-19,6840.02
36,1 wk ahead inc death,2020-09-13,2020-09-19,117.1566666667
36,1 wk ahead cum death,2020-09-13,2020-09-19,33140.1566666667
36,1 wk ahead inc case,2020-09-20,2020-09-26,6723.7933333333
36,1 wk ahead inc death,2020-09-20,2020-09-26,111.22
36,1 wk ahead cum death,2020-09-20,2020-09-26,33192.22
36,1 wk ahead inc case,2020-09-27,2020-10-03,11074.1533333333
36,1 wk ahead inc death,2020-09-27,2020-10-03,98.4666666667
36,1 wk ahead cum death,2020-09-27,2020-10-03,33223.4666666667
36,1 wk ahead inc case,2020-10-04,2020-10-10,14388.8966666667
36,1 wk ahead inc death,2020-10-04,2020-10-10,106.0633333333
36,1 wk ahead cum death,2020-10-04,2020-10-10,33296.39
36,1 wk ahead inc case,2020-10-11,2020-10-17,12291.2766666667
36,1 wk ahead inc death,2020-10-11,2020-10-17,114.6633333333
36,1 wk ahead cum death,2020-10-11,2020-10-17,33407.6633333333
