location,target,forecast_date,target_end_date,value
36,1 wk ahead inc case,2020-07-20,2020-07-25,3217.3
36,1 wk ahead inc death,2020-07-20,2020-07-25,29.4
36,1 wk ahead inc case,2020-07-26,2020-08-01,5308.6
36,1 wk ahead inc death,2020-07-26,2020-08-01,64.5
36,1 wk ahead cum death,2020-07-26,2020-08-01,25167.5
36,1 wk ahead inc case,2020-08-02,2020-08-08,5269.3
36,1 wk ahead inc death,2020-08-02,2020-08-08,47.4
36,1 wk ahead cum death,2020-08-02,2020-08-08,25211.4
36,1 wk ahead inc case,2020-08-09,2020-08-15,5246.4
36,1 wk ahead inc death,2020-08-09,2020-08-15,106.7
36,1 wk ahead cum death,2020-08-09,2020-08-15,32874.7
36,1 wk ahead inc case,2020-08-16,2020-08-22,4931
36,1 wk ahead inc death,2020-08-16,2020-08-22,89.2
36,1 wk ahead cum death,2020-08-16,2020-08-22,32922.2
36,1 wk ahead inc case,2020-08-23,2020-08-29,4920.2
36,1 wk ahead inc death,2020-08-23,2020-08-29,57.5
36,1 wk ahead cum death,2020-08-23,2020-08-29,32928.5
36,1 wk ahead inc case,2020-08-30,2020-09-05,4670.6
36,1 wk ahead inc death,2020-08-30,2020-09-05,57.6
36,1 wk ahead cum death,2020-08-30,2020-09-05,32995.6
36,1 wk ahead inc case,2020-09-06,2020-09-12,4621.3
36,1 wk ahead inc death,2020-09-06,2020-09-12,59.8
36,1 wk ahead cum death,2020-09-06,2020-09-12,33046.8
36,1 wk ahead inc case,2020-09-13,2020-09-19,4649.2
36,1 wk ahead inc death,2020-09-13,2020-09-19,61.9
36,1 wk ahead cum death,2020-09-13,2020-09-19,33084.9
36,1 wk ahead inc case,2020-09-20,2020-09-26,4746.9
36,1 wk ahead inc death,2020-09-20,2020-09-26,60.4
36,1 wk ahead cum death,2020-09-20,2020-09-26,33141.4
36,1 wk ahead inc case,2020-09-27,2020-10-03,4931.1
36,1 wk ahead inc death,2020-09-27,2020-10-03,48.8
36,1 wk ahead cum death,2020-09-27,2020-10-03,33173.8
36,1 wk ahead inc case,2020-10-04,2020-10-10,10425.5
36,1 wk ahead inc death,2020-10-04,2020-10-10,77.2
36,1 wk ahead cum death,2020-10-04,2020-10-10,33274.2
36,1 wk ahead inc case,2020-10-11,2020-10-17,13466.2
36,1 wk ahead inc death,2020-10-11,2020-10-17,102.7
36,1 wk ahead cum death,2020-10-11,2020-10-17,33395.7
