location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,2020-04-06,2020-04-11,8579.1934294074
36,1 wk ahead cum death,2020-04-09,2020-04-18,15263.3864990906
36,1 wk ahead cum death,2020-04-13,2020-04-18,13596.4270361711
36,1 wk ahead cum death,2020-04-16,2020-04-25,18442.3695006779
36,1 wk ahead cum death,2020-04-20,2020-04-25,23915.6277985852
36,1 wk ahead cum death,2020-04-23,2020-05-02,24697.5594237016
36,1 wk ahead cum death,2020-04-27,2020-05-02,25692.60023724
36,1 wk ahead cum death,2020-04-30,2020-05-09,27120.7828754867
36,1 wk ahead cum death,2020-05-03,2020-05-09,26510.9661017221
36,1 wk ahead cum death,2020-05-04,2020-05-09,26510.9661017221
36,1 wk ahead cum death,2020-05-07,2020-05-16,27625.3574249775
36,1 wk ahead cum death,2020-05-11,2020-05-16,27817.4204780811
36,1 wk ahead cum death,2020-05-14,2020-05-23,29006.9103098185
36,1 wk ahead cum death,2020-05-18,2020-05-23,29389.632394096
36,1 wk ahead cum death,2020-05-21,2020-05-30,29965.6833794751
36,1 wk ahead cum death,2020-05-24,2020-05-30,30012.8197618552
36,1 wk ahead cum death,2020-05-25,2020-05-30,29958.0056704857
36,1 wk ahead cum death,2020-05-28,2020-06-06,30476.995544653
36,1 wk ahead cum death,2020-06-01,2020-06-06,30363.2348954171
36,1 wk ahead cum death,2020-06-04,2020-06-13,30762.1605750103
36,1 wk ahead cum death,2020-06-08,2020-06-13,30750.5151740517
36,1 wk ahead cum death,2020-06-11,2020-06-20,31012.0966361177
36,1 wk ahead inc death,2020-06-11,2020-06-20,40.2891715669
36,1 wk ahead cum death,2020-06-14,2020-06-20,31135.7938127511
36,1 wk ahead inc death,2020-06-14,2020-06-20,278.3068139601
36,1 wk ahead cum death,2020-06-18,2020-06-27,31342.7112398819
36,1 wk ahead inc death,2020-06-18,2020-06-27,259.5572964189
36,1 wk ahead cum death,2020-06-21,2020-06-27,31354.0537255656
36,1 wk ahead inc death,2020-06-21,2020-06-27,224.1461505362
36,1 wk ahead cum death,2020-06-24,2020-07-04,31627.646131653
36,1 wk ahead inc death,2020-06-24,2020-07-04,225.9195363914
36,1 wk ahead cum death,2020-06-29,2020-07-04,31639.5167481289
36,1 wk ahead inc death,2020-06-29,2020-07-04,193.7272560044
36,1 wk ahead cum death,2020-07-02,2020-07-11,32352.1428069738
36,1 wk ahead inc death,2020-07-02,2020-07-11,204.6721346445
36,1 wk ahead cum death,2020-07-03,2020-07-11,32362.1611575366
36,1 wk ahead inc death,2020-07-03,2020-07-11,221.4201592702
36,1 wk ahead inc case,2020-07-03,2020-07-11,3328.7873960105
36,1 wk ahead cum death,2020-07-06,2020-07-11,32432.0200446812
36,1 wk ahead inc death,2020-07-06,2020-07-11,182.9824275778
36,1 wk ahead inc case,2020-07-06,2020-07-11,3050.892328478
36,1 wk ahead cum death,2020-07-09,2020-07-18,32526.8480722915
36,1 wk ahead inc death,2020-07-09,2020-07-18,180.3899047892
36,1 wk ahead inc case,2020-07-09,2020-07-18,3190.4474404367
36,1 wk ahead cum death,2020-07-13,2020-07-18,32525.5667897722
36,1 wk ahead inc death,2020-07-13,2020-07-18,142.1958788526
36,1 wk ahead inc case,2020-07-13,2020-07-18,2905.4228742404
36,1 wk ahead cum death,2020-07-16,2020-07-25,32699.5336086695
36,1 wk ahead inc death,2020-07-16,2020-07-25,181.1344864893
36,1 wk ahead inc case,2020-07-16,2020-07-25,4077.98326239
36,1 wk ahead cum death,2020-07-20,2020-07-25,32637.9441292436
36,1 wk ahead inc death,2020-07-20,2020-07-25,157.7351933762
36,1 wk ahead inc case,2020-07-20,2020-07-25,4083.8116097272
36,1 wk ahead cum death,2020-07-23,2020-08-01,32751.7855702054
36,1 wk ahead inc death,2020-07-23,2020-08-01,126.9549331713
36,1 wk ahead inc case,2020-07-23,2020-08-01,3569.8270132085
36,1 wk ahead cum death,2020-07-27,2020-08-01,32749.2276774138
36,1 wk ahead inc death,2020-07-27,2020-08-01,139.5799437514
36,1 wk ahead inc case,2020-07-27,2020-08-01,4070.5632808592
36,1 wk ahead cum death,2020-07-30,2020-08-08,32814.1209578122
36,1 wk ahead inc death,2020-07-30,2020-08-08,101.9117733815
36,1 wk ahead inc case,2020-07-30,2020-08-08,3347.0647176882
36,1 wk ahead cum death,2020-08-03,2020-08-08,32807.9116298144
36,1 wk ahead inc death,2020-08-03,2020-08-08,112.5091892886
36,1 wk ahead inc case,2020-08-03,2020-08-08,3959.0320659889
36,1 wk ahead cum death,2020-08-06,2020-08-15,32913.2023238122
36,1 wk ahead inc death,2020-08-06,2020-08-15,104.9319177735
36,1 wk ahead inc case,2020-08-06,2020-08-15,3466.6480712506
36,1 wk ahead cum death,2020-08-10,2020-08-15,32868.4869005401
36,1 wk ahead inc death,2020-08-10,2020-08-15,98.2564686134
36,1 wk ahead inc case,2020-08-10,2020-08-15,3814.175038255
36,1 wk ahead cum death,2020-08-13,2020-08-22,32902.6368144024
36,1 wk ahead inc death,2020-08-13,2020-08-22,68.6864043113
36,1 wk ahead inc case,2020-08-13,2020-08-22,3307.116617987
36,1 wk ahead cum death,2020-08-17,2020-08-22,32904.2055972081
36,1 wk ahead inc death,2020-08-17,2020-08-22,69.5985362226
36,1 wk ahead inc case,2020-08-17,2020-08-22,4201.529930474
36,1 wk ahead cum death,2020-08-20,2020-08-29,32953.1322106503
36,1 wk ahead inc death,2020-08-20,2020-08-29,56.9313107991
36,1 wk ahead inc case,2020-08-20,2020-08-29,3250.3112794321
36,1 wk ahead cum death,2020-08-24,2020-08-29,32936.5436047216
36,1 wk ahead inc death,2020-08-24,2020-08-29,64.0770241005
36,1 wk ahead inc case,2020-08-24,2020-08-29,3770.4128089328
36,1 wk ahead cum death,2020-08-27,2020-09-05,33002.3761418967
36,1 wk ahead inc death,2020-08-27,2020-09-05,51.4859092521
36,1 wk ahead inc case,2020-08-27,2020-09-05,2960.0444999188
36,1 wk ahead cum death,2020-08-31,2020-09-05,32994.5272976603
36,1 wk ahead inc death,2020-08-31,2020-09-05,55.6805132636
36,1 wk ahead inc case,2020-08-31,2020-09-05,4119.2570817681
36,1 wk ahead cum death,2020-09-03,2020-09-12,33046.6918819764
36,1 wk ahead inc death,2020-09-03,2020-09-12,47.9284829043
36,1 wk ahead inc case,2020-09-03,2020-09-12,3642.5833200667
36,1 wk ahead cum death,2020-09-07,2020-09-12,33036.8666278941
36,1 wk ahead inc death,2020-09-07,2020-09-12,48.3512834608
36,1 wk ahead inc case,2020-09-07,2020-09-12,4759.4407830831
36,1 wk ahead cum death,2020-09-10,2020-09-19,33074.6416691862
36,1 wk ahead inc death,2020-09-10,2020-09-19,35.4059670383
36,1 wk ahead inc case,2020-09-10,2020-09-19,3340.212943291
36,1 wk ahead cum death,2020-09-14,2020-09-19,33062.365478894
36,1 wk ahead inc death,2020-09-14,2020-09-19,37.8407162032
36,1 wk ahead inc case,2020-09-14,2020-09-19,4673.4727214991
36,1 wk ahead cum death,2020-09-17,2020-09-26,33087.4849723438
36,1 wk ahead inc death,2020-09-17,2020-09-26,28.0723233932
36,1 wk ahead inc case,2020-09-17,2020-09-26,3753.8235160445
36,1 wk ahead cum death,2020-09-21,2020-09-26,33128.6894552732
36,1 wk ahead inc death,2020-09-21,2020-09-26,46.2399259075
36,1 wk ahead inc case,2020-09-21,2020-09-26,5177.2489397015
36,1 wk ahead cum death,2020-09-24,2020-10-03,33137.9059286215
36,1 wk ahead inc death,2020-09-24,2020-10-03,29.7548619799
36,1 wk ahead inc case,2020-09-24,2020-10-03,3957.5254307609
36,1 wk ahead cum death,2020-09-28,2020-10-03,33174.9642254168
36,1 wk ahead inc death,2020-09-28,2020-10-03,48.5463194621
36,1 wk ahead inc case,2020-09-28,2020-10-03,5406.1937347412
36,1 wk ahead cum death,2020-10-01,2020-10-10,33216.7681069587
36,1 wk ahead inc death,2020-10-01,2020-10-10,40.5954842934
36,1 wk ahead inc case,2020-10-01,2020-10-10,5439.4088754185
36,1 wk ahead cum death,2020-10-05,2020-10-10,33269.9764496444
36,1 wk ahead inc death,2020-10-05,2020-10-10,71.752180979
36,1 wk ahead inc case,2020-10-05,2020-10-10,8535.8122936267
36,1 wk ahead cum death,2020-10-08,2020-10-17,33308.5383915281
36,1 wk ahead inc death,2020-10-08,2020-10-17,53.4854520849
36,1 wk ahead inc case,2020-10-08,2020-10-17,7180.5437152817
36,1 wk ahead cum death,2020-10-12,2020-10-17,33339.3412084079
36,1 wk ahead inc death,2020-10-12,2020-10-17,44.4986444761
36,1 wk ahead inc case,2020-10-12,2020-10-17,8533.7695337199
36,1 wk ahead cum death,2020-10-15,2020-10-24,33379.1223238561
36,1 wk ahead inc death,2020-10-15,2020-10-24,40.1854244132
36,1 wk ahead inc case,2020-10-15,2020-10-24,6694.9278984007
