location,target,forecast_date,target_end_date,value
36,1 wk ahead inc case,2020-07-12,2020-07-18,4648.9987244696
36,1 wk ahead inc case,2020-07-19,2020-07-25,5008.6670287956
36,1 wk ahead inc death,2020-07-19,2020-07-25,135.8495370551
36,1 wk ahead inc case,2020-07-26,2020-08-01,4863.0368323395
36,1 wk ahead inc death,2020-07-26,2020-08-01,123.5469488349
36,1 wk ahead inc case,2020-08-02,2020-08-08,4743.939885372
36,1 wk ahead inc death,2020-08-02,2020-08-08,72.7215978544
36,1 wk ahead inc case,2020-08-09,2020-08-15,4474.5628254426
36,1 wk ahead inc death,2020-08-09,2020-08-15,50.223655447
36,1 wk ahead cum death,2020-08-09,2020-08-15,32818.223655447
36,1 wk ahead inc case,2020-08-16,2020-08-22,4709.8669840804
36,1 wk ahead inc death,2020-08-16,2020-08-22,59.1668002166
36,1 wk ahead cum death,2020-08-16,2020-08-22,32892.1668002166
36,1 wk ahead inc case,2020-08-23,2020-08-29,4202.3689728076
36,1 wk ahead inc death,2020-08-23,2020-08-29,52.821462772
36,1 wk ahead cum death,2020-08-23,2020-08-29,32923.821462772
36,1 wk ahead inc case,2020-08-30,2020-09-05,4560.2918206439
36,1 wk ahead inc death,2020-08-30,2020-09-05,57.0971647971
36,1 wk ahead cum death,2020-08-30,2020-09-05,32995.0971647971
36,1 wk ahead inc case,2020-09-06,2020-09-12,5613.2681772954
36,1 wk ahead inc death,2020-09-06,2020-09-12,45.345574208
36,1 wk ahead cum death,2020-09-06,2020-09-12,33032.345574208
36,1 wk ahead inc case,2020-09-13,2020-09-19,5380.591261163
36,1 wk ahead inc death,2020-09-13,2020-09-19,23.3688923331
36,1 wk ahead cum death,2020-09-13,2020-09-19,33046.3688923331
36,1 wk ahead inc case,2020-09-20,2020-09-26,5911.1839097433
36,1 wk ahead inc death,2020-09-20,2020-09-26,49.4318253985
36,1 wk ahead cum death,2020-09-20,2020-09-26,33130.4318253985
36,1 wk ahead inc case,2020-09-27,2020-10-03,6104.1381528202
36,1 wk ahead inc death,2020-09-27,2020-10-03,51.9107846296
36,1 wk ahead cum death,2020-09-27,2020-10-03,33176.9107846296
36,1 wk ahead inc case,2020-10-04,2020-10-10,10184.5481259193
36,1 wk ahead inc death,2020-10-04,2020-10-10,74.7776321271
36,1 wk ahead cum death,2020-10-04,2020-10-10,33271.7776321271
36,1 wk ahead inc case,2020-10-11,2020-10-17,10334.8206994503
36,1 wk ahead inc death,2020-10-11,2020-10-17,83.3838337687
36,1 wk ahead cum death,2020-10-11,2020-10-17,33376.3838337687
