location,target,forecast_date,target_end_date,value
36,1 wk ahead inc death,06-04-2020,11-04-2020,2837
36,1 wk ahead cum death,06-04-2020,11-04-2020,6402
36,2 wk ahead inc death,06-04-2020,18-04-2020,2837
36,2 wk ahead cum death,06-04-2020,18-04-2020,9239
36,3 wk ahead inc death,06-04-2020,25-04-2020,2837
36,3 wk ahead cum death,06-04-2020,25-04-2020,12076
36,4 wk ahead inc death,06-04-2020,02-05-2020,2837
36,4 wk ahead cum death,06-04-2020,02-05-2020,14913.14274
36,1 wk ahead inc case,06-04-2020,11-04-2020,61423
36,2 wk ahead inc case,06-04-2020,18-04-2020,61423
36,3 wk ahead inc case,06-04-2020,25-04-2020,61423
36,4 wk ahead inc case,06-04-2020,02-05-2020,61423
36,5 wk ahead inc case,06-04-2020,09-05-2020,61423
36,6 wk ahead inc case,06-04-2020,16-05-2020,61423
36,7 wk ahead inc case,06-04-2020,23-05-2020,61423
36,8 wk ahead inc case,06-04-2020,30-05-2020,61423
36,1 wk ahead inc death,13-04-2020,18-04-2020,4337
36,1 wk ahead cum death,13-04-2020,18-04-2020,12964
36,2 wk ahead inc death,13-04-2020,25-04-2020,4337
36,2 wk ahead cum death,13-04-2020,25-04-2020,17301
36,3 wk ahead inc death,13-04-2020,02-05-2020,4337
36,3 wk ahead cum death,13-04-2020,02-05-2020,21638.02807
36,4 wk ahead inc death,13-04-2020,09-05-2020,4337
36,4 wk ahead cum death,13-04-2020,09-05-2020,25975.95798
36,1 wk ahead inc case,13-04-2020,18-04-2020,67193
36,2 wk ahead inc case,13-04-2020,25-04-2020,67193
36,3 wk ahead inc case,13-04-2020,02-05-2020,67193
36,4 wk ahead inc case,13-04-2020,09-05-2020,67193
36,5 wk ahead inc case,13-04-2020,16-05-2020,67193
36,6 wk ahead inc case,13-04-2020,23-05-2020,67193
36,7 wk ahead inc case,13-04-2020,30-05-2020,67193
36,8 wk ahead inc case,13-04-2020,06-06-2020,67193
36,1 wk ahead inc death,20-04-2020,25-04-2020,9044
36,1 wk ahead cum death,20-04-2020,25-04-2020,26715
36,2 wk ahead inc death,20-04-2020,02-05-2020,9044
36,2 wk ahead cum death,20-04-2020,02-05-2020,35759
36,3 wk ahead inc death,20-04-2020,09-05-2020,9044
36,3 wk ahead cum death,20-04-2020,09-05-2020,44802.57288
36,4 wk ahead inc death,20-04-2020,16-05-2020,9044
36,4 wk ahead cum death,20-04-2020,16-05-2020,53844.58653
36,1 wk ahead inc case,20-04-2020,25-04-2020,60686
36,2 wk ahead inc case,20-04-2020,02-05-2020,60686
36,3 wk ahead inc case,20-04-2020,09-05-2020,60686
36,4 wk ahead inc case,20-04-2020,16-05-2020,60686
36,5 wk ahead inc case,20-04-2020,23-05-2020,60686
36,6 wk ahead inc case,20-04-2020,30-05-2020,60686
36,7 wk ahead inc case,20-04-2020,06-06-2020,60686
36,8 wk ahead inc case,20-04-2020,13-06-2020,60686
36,1 wk ahead inc death,27-04-2020,02-05-2020,3249
36,1 wk ahead cum death,27-04-2020,02-05-2020,25258
36,2 wk ahead inc death,27-04-2020,09-05-2020,3249
36,2 wk ahead cum death,27-04-2020,09-05-2020,28507
36,3 wk ahead inc death,27-04-2020,16-05-2020,3249
