location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,13-04-2020,18-04-2020,13196.18602
36,2 wk ahead cum death,13-04-2020,25-04-2020,16088.67581
36,3 wk ahead cum death,13-04-2020,02-05-2020,18014.95006
36,4 wk ahead cum death,13-04-2020,09-05-2020,19514.50552
36,5 wk ahead cum death,13-04-2020,16-05-2020,20695.09773
36,6 wk ahead cum death,13-04-2020,23-05-2020,21677.97782
36,1 wk ahead cum death,27-04-2020,02-05-2020,22097.63756
36,2 wk ahead cum death,27-04-2020,09-05-2020,24773.43581
36,3 wk ahead cum death,27-04-2020,16-05-2020,26827.83537
36,4 wk ahead cum death,27-04-2020,23-05-2020,28440.38002
36,1 wk ahead cum death,04-05-2020,09-05-2020,26130.92323
36,2 wk ahead cum death,04-05-2020,16-05-2020,27776.51071
36,3 wk ahead cum death,04-05-2020,23-05-2020,28997.04539
36,4 wk ahead cum death,04-05-2020,30-05-2020,29913.78131
36,1 wk ahead cum death,11-05-2020,16-05-2020,28353.7738
36,2 wk ahead cum death,11-05-2020,23-05-2020,29810.76932
36,3 wk ahead cum death,11-05-2020,30-05-2020,30897.16387
36,4 wk ahead cum death,11-05-2020,06-06-2020,31740.0907
36,1 wk ahead cum death,18-05-2020,23-05-2020,29558.08636
36,2 wk ahead cum death,18-05-2020,30-05-2020,30502.84974
36,3 wk ahead cum death,18-05-2020,06-06-2020,31111.87027
36,4 wk ahead cum death,18-05-2020,13-06-2020,31516.58507
36,1 wk ahead cum death,25-05-2020,30-05-2020,29836.12747
36,2 wk ahead cum death,25-05-2020,06-06-2020,30403.16442
36,3 wk ahead cum death,25-05-2020,13-06-2020,30800.76455
36,4 wk ahead cum death,25-05-2020,20-06-2020,31088.35158
36,4 wk ahead cum death,01-06-2020,27-06-2020,31115.59547
36,3 wk ahead cum death,01-06-2020,20-06-2020,30890.32273
36,2 wk ahead cum death,01-06-2020,13-06-2020,30606.07352
36,1 wk ahead cum death,01-06-2020,06-06-2020,30219.51229
36,4 wk ahead cum death,08-06-2020,04-07-2020,31355.43938
36,3 wk ahead cum death,08-06-2020,27-06-2020,31196.91313
36,2 wk ahead cum death,08-06-2020,20-06-2020,30988.03637
36,1 wk ahead cum death,08-06-2020,13-06-2020,30696.40675
36,1 wk ahead inc death,08-06-2020,13-06-2020,381.5612632
36,2 wk ahead inc death,08-06-2020,20-06-2020,276.0238252
36,3 wk ahead inc death,08-06-2020,27-06-2020,208.5173699
36,4 wk ahead inc death,08-06-2020,04-07-2020,178.135878
36,1 wk ahead cum death,15-06-2020,20-06-2020,31090.96829
36,2 wk ahead cum death,15-06-2020,27-06-2020,31340.99932
36,3 wk ahead cum death,15-06-2020,04-07-2020,31542.941
36,4 wk ahead cum death,15-06-2020,11-07-2020,31713.60731
36,1 wk ahead inc death,15-06-2020,20-06-2020,307.9351203
36,2 wk ahead inc death,15-06-2020,27-06-2020,248.7845827
36,3 wk ahead inc death,15-06-2020,04-07-2020,203.817672
36,4 wk ahead inc death,15-06-2020,11-07-2020,177.2880572
36,4 wk ahead cum death,22-06-2020,18-07-2020,31830.44802
36,3 wk ahead cum death,22-06-2020,11-07-2020,31717.29093
