location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,12-04-2020,18-04-2020,21829
36,2 wk ahead cum death,12-04-2020,25-04-2020,46236
36,3 wk ahead cum death,12-04-2020,02-05-2020,75906
36,4 wk ahead cum death,12-04-2020,09-05-2020,103170
36,5 wk ahead cum death,12-04-2020,16-05-2020,124881
36,6 wk ahead cum death,12-04-2020,23-05-2020,142625
36,1 wk ahead cum death,16-04-2020,25-04-2020,19319
36,2 wk ahead cum death,16-04-2020,02-05-2020,24043
36,3 wk ahead cum death,16-04-2020,09-05-2020,28845
36,4 wk ahead cum death,16-04-2020,16-05-2020,34118
36,5 wk ahead cum death,16-04-2020,23-05-2020,41430
36,1 wk ahead cum death,19-04-2020,25-04-2020,19217
36,2 wk ahead cum death,19-04-2020,02-05-2020,25541
36,3 wk ahead cum death,19-04-2020,09-05-2020,31450
36,4 wk ahead cum death,19-04-2020,16-05-2020,38133
36,5 wk ahead cum death,19-04-2020,23-05-2020,46160
36,6 wk ahead cum death,19-04-2020,30-05-2020,55157
36,1 wk ahead cum death,23-04-2020,02-05-2020,24379
36,2 wk ahead cum death,23-04-2020,09-05-2020,29648
36,3 wk ahead cum death,23-04-2020,16-05-2020,34147
36,4 wk ahead cum death,23-04-2020,23-05-2020,39153
36,5 wk ahead cum death,23-04-2020,30-05-2020,44547
36,1 wk ahead cum death,26-04-2020,02-05-2020,20566
36,2 wk ahead cum death,26-04-2020,09-05-2020,24269
36,3 wk ahead cum death,26-04-2020,16-05-2020,28709
36,4 wk ahead cum death,26-04-2020,23-05-2020,34769
36,5 wk ahead cum death,26-04-2020,30-05-2020,43791
36,6 wk ahead cum death,26-04-2020,06-06-2020,55553
36,1 wk ahead cum death,31-05-2020,06-06-2020,30350
36,2 wk ahead cum death,31-05-2020,13-06-2020,30761
36,3 wk ahead cum death,31-05-2020,20-06-2020,31065
36,4 wk ahead cum death,31-05-2020,27-06-2020,31313
36,1 wk ahead cum death,04-06-2020,13-06-2020,30741
36,2 wk ahead cum death,04-06-2020,20-06-2020,31093
36,3 wk ahead cum death,04-06-2020,27-06-2020,31400
36,1 wk ahead cum death,07-06-2020,13-06-2020,30600
36,2 wk ahead cum death,07-06-2020,20-06-2020,30825
36,3 wk ahead cum death,07-06-2020,27-06-2020,30976
36,4 wk ahead cum death,07-06-2020,04-07-2020,31088
36,1 wk ahead cum death,11-06-2020,20-06-2020,30880
36,2 wk ahead cum death,11-06-2020,27-06-2020,31023
36,3 wk ahead cum death,11-06-2020,04-07-2020,31129
36,1 wk ahead cum death,14-06-2020,20-06-2020,31029
