location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,12-04-2020,18-04-2020,16142
36,2 wk ahead cum death,12-04-2020,25-04-2020,27762
36,3 wk ahead cum death,12-04-2020,02-05-2020,38296
36,4 wk ahead cum death,12-04-2020,09-05-2020,46447
36,5 wk ahead cum death,12-04-2020,16-05-2020,52086
36,6 wk ahead cum death,12-04-2020,23-05-2020,56743
36,1 wk ahead cum death,16-04-2020,25-04-2020,19311
36,2 wk ahead cum death,16-04-2020,02-05-2020,23810
36,3 wk ahead cum death,16-04-2020,09-05-2020,28000
36,4 wk ahead cum death,16-04-2020,16-05-2020,31996
36,5 wk ahead cum death,16-04-2020,23-05-2020,35503
36,1 wk ahead cum death,19-04-2020,25-04-2020,19217
36,2 wk ahead cum death,19-04-2020,02-05-2020,25530
36,3 wk ahead cum death,19-04-2020,09-05-2020,31307
36,4 wk ahead cum death,19-04-2020,16-05-2020,37092
36,5 wk ahead cum death,19-04-2020,23-05-2020,43051
36,6 wk ahead cum death,19-04-2020,30-05-2020,48122
36,1 wk ahead cum death,23-04-2020,02-05-2020,24368
36,2 wk ahead cum death,23-04-2020,09-05-2020,29633
36,3 wk ahead cum death,23-04-2020,16-05-2020,33937
36,4 wk ahead cum death,23-04-2020,23-05-2020,38255
36,5 wk ahead cum death,23-04-2020,30-05-2020,41785
36,1 wk ahead cum death,26-04-2020,02-05-2020,20563
36,2 wk ahead cum death,26-04-2020,09-05-2020,24171
36,3 wk ahead cum death,26-04-2020,16-05-2020,28104
36,4 wk ahead cum death,26-04-2020,23-05-2020,32637
36,5 wk ahead cum death,26-04-2020,30-05-2020,38216
36,6 wk ahead cum death,26-04-2020,06-06-2020,43708
36,1 wk ahead cum death,03-05-2020,09-05-2020,25557
36,2 wk ahead cum death,03-05-2020,16-05-2020,27563
36,3 wk ahead cum death,03-05-2020,23-05-2020,29037
36,4 wk ahead cum death,03-05-2020,30-05-2020,30162
36,5 wk ahead cum death,03-05-2020,06-06-2020,31082
36,6 wk ahead cum death,03-05-2020,13-06-2020,31835
36,1 wk ahead cum death,07-05-2020,16-05-2020,28009
36,2 wk ahead cum death,07-05-2020,23-05-2020,29384
36,3 wk ahead cum death,07-05-2020,30-05-2020,30363
36,4 wk ahead cum death,07-05-2020,06-06-2020,31069
36,5 wk ahead cum death,07-05-2020,13-06-2020,31599
36,1 wk ahead cum death,10-05-2020,16-05-2020,27628
36,2 wk ahead cum death,10-05-2020,23-05-2020,29050
36,3 wk ahead cum death,10-05-2020,30-05-2020,30029
36,4 wk ahead cum death,10-05-2020,06-06-2020,30730
36,5 wk ahead cum death,10-05-2020,13-06-2020,31262
36,6 wk ahead cum death,10-05-2020,20-06-2020,31678
36,1 wk ahead cum death,14-05-2020,23-05-2020,28440
36,2 wk ahead cum death,14-05-2020,30-05-2020,29290
36,3 wk ahead cum death,14-05-2020,06-06-2020,29854
36,4 wk ahead cum death,14-05-2020,13-06-2020,30194
36,5 wk ahead cum death,14-05-2020,20-06-2020,30433
36,1 wk ahead cum death,17-05-2020,23-05-2020,28173
36,2 wk ahead cum death,17-05-2020,30-05-2020,29094
36,3 wk ahead cum death,17-05-2020,06-06-2020,29696
36,4 wk ahead cum death,17-05-2020,13-06-2020,30089
36,1 wk ahead cum death,21-05-2020,30-05-2020,29180
36,2 wk ahead cum death,21-05-2020,06-06-2020,29770
36,3 wk ahead cum death,21-05-2020,13-06-2020,30158
36,1 wk ahead cum death,24-05-2020,30-05-2020,30008
36,2 wk ahead cum death,24-05-2020,06-06-2020,30643
36,3 wk ahead cum death,24-05-2020,13-06-2020,31064
36,4 wk ahead cum death,24-05-2020,20-06-2020,31392
36,1 wk ahead cum death,28-05-2020,06-06-2020,30303
36,2 wk ahead cum death,28-05-2020,13-06-2020,30694
36,3 wk ahead cum death,28-05-2020,20-06-2020,30999
36,1 wk ahead cum death,31-05-2020,06-06-2020,30200
36,2 wk ahead cum death,31-05-2020,13-06-2020,30653
36,3 wk ahead cum death,31-05-2020,20-06-2020,31049
