location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,12-04-2020,18-04-2020,14055
36,2 wk ahead cum death,12-04-2020,25-04-2020,21501
36,3 wk ahead cum death,12-04-2020,02-05-2020,26557
36,4 wk ahead cum death,12-04-2020,09-05-2020,29979
36,5 wk ahead cum death,12-04-2020,16-05-2020,31802
36,6 wk ahead cum death,12-04-2020,23-05-2020,33165
36,1 wk ahead cum death,16-04-2020,25-04-2020,19315
36,2 wk ahead cum death,16-04-2020,02-05-2020,23686
36,3 wk ahead cum death,16-04-2020,09-05-2020,27066
36,4 wk ahead cum death,16-04-2020,16-05-2020,29415
36,5 wk ahead cum death,16-04-2020,23-05-2020,31170
36,1 wk ahead cum death,19-04-2020,25-04-2020,19217
36,2 wk ahead cum death,19-04-2020,02-05-2020,25447
36,3 wk ahead cum death,19-04-2020,09-05-2020,30269
36,4 wk ahead cum death,19-04-2020,16-05-2020,33800
36,5 wk ahead cum death,19-04-2020,23-05-2020,36189
36,6 wk ahead cum death,19-04-2020,30-05-2020,37820
36,1 wk ahead cum death,23-04-2020,02-05-2020,24368
36,2 wk ahead cum death,23-04-2020,09-05-2020,29419
36,3 wk ahead cum death,23-04-2020,16-05-2020,32711
36,4 wk ahead cum death,23-04-2020,23-05-2020,34858
36,5 wk ahead cum death,23-04-2020,30-05-2020,36379
36,1 wk ahead cum death,26-04-2020,02-05-2020,20561
36,2 wk ahead cum death,26-04-2020,09-05-2020,23822
36,3 wk ahead cum death,26-04-2020,16-05-2020,26573
36,4 wk ahead cum death,26-04-2020,23-05-2020,28942
36,5 wk ahead cum death,26-04-2020,30-05-2020,30551
36,6 wk ahead cum death,26-04-2020,06-06-2020,31925
36,1 wk ahead cum death,03-05-2020,09-05-2020,25557
36,2 wk ahead cum death,03-05-2020,16-05-2020,27563
36,3 wk ahead cum death,03-05-2020,23-05-2020,29037
36,4 wk ahead cum death,03-05-2020,30-05-2020,30162
36,5 wk ahead cum death,03-05-2020,06-06-2020,31082
36,6 wk ahead cum death,03-05-2020,13-06-2020,31835
36,1 wk ahead cum death,07-05-2020,16-05-2020,28020
36,2 wk ahead cum death,07-05-2020,23-05-2020,29409
36,3 wk ahead cum death,07-05-2020,30-05-2020,30378
36,4 wk ahead cum death,07-05-2020,06-06-2020,31075
36,5 wk ahead cum death,07-05-2020,13-06-2020,31599
36,1 wk ahead cum death,10-05-2020,16-05-2020,27627
36,2 wk ahead cum death,10-05-2020,23-05-2020,29047
36,3 wk ahead cum death,10-05-2020,30-05-2020,30015
36,4 wk ahead cum death,10-05-2020,06-06-2020,30740
36,5 wk ahead cum death,10-05-2020,13-06-2020,31273
36,6 wk ahead cum death,10-05-2020,20-06-2020,31681
36,1 wk ahead cum death,17-05-2020,23-05-2020,28175
36,2 wk ahead cum death,17-05-2020,30-05-2020,29100
36,3 wk ahead cum death,17-05-2020,06-06-2020,29687
36,4 wk ahead cum death,17-05-2020,13-06-2020,30077
36,1 wk ahead cum death,21-05-2020,30-05-2020,29171
36,2 wk ahead cum death,21-05-2020,06-06-2020,29760
36,3 wk ahead cum death,21-05-2020,13-06-2020,30169
36,1 wk ahead cum death,24-05-2020,30-05-2020,30014
36,2 wk ahead cum death,24-05-2020,06-06-2020,30643
36,3 wk ahead cum death,24-05-2020,13-06-2020,31057
36,4 wk ahead cum death,24-05-2020,20-06-2020,31374
36,1 wk ahead cum death,28-05-2020,06-06-2020,30318
36,2 wk ahead cum death,28-05-2020,13-06-2020,30705
36,3 wk ahead cum death,28-05-2020,20-06-2020,30998
36,1 wk ahead cum death,31-05-2020,06-06-2020,30199
36,2 wk ahead cum death,31-05-2020,13-06-2020,30664
36,3 wk ahead cum death,31-05-2020,20-06-2020,31033
36,4 wk ahead cum death,31-05-2020,27-06-2020,31407
36,1 wk ahead cum death,04-06-2020,13-06-2020,30742
36,2 wk ahead cum death,04-06-2020,20-06-2020,31101
36,3 wk ahead cum death,04-06-2020,27-06-2020,31421
36,1 wk ahead cum death,07-06-2020,13-06-2020,30602
36,2 wk ahead cum death,07-06-2020,20-06-2020,30822
36,3 wk ahead cum death,07-06-2020,27-06-2020,30983
36,4 wk ahead cum death,07-06-2020,04-07-2020,31105
36,1 wk ahead cum death,11-06-2020,20-06-2020,30879
36,2 wk ahead cum death,11-06-2020,27-06-2020,31031
36,3 wk ahead cum death,11-06-2020,04-07-2020,31140
36,1 wk ahead cum death,14-06-2020,20-06-2020,31032
36,2 wk ahead cum death,14-06-2020,27-06-2020,31193
36,3 wk ahead cum death,14-06-2020,04-07-2020,31325
36,4 wk ahead cum death,14-06-2020,11-07-2020,31439
36,1 wk ahead cum death,18-06-2020,27-06-2020,31139
36,2 wk ahead cum death,18-06-2020,04-07-2020,31232
36,3 wk ahead cum death,18-06-2020,11-07-2020,31299
36,1 wk ahead cum death,21-06-2020,27-06-2020,31326
36,1 wk ahead inc death,21-06-2020,27-06-2020,31
36,2 wk ahead cum death,21-06-2020,04-07-2020,31537
36,2 wk ahead inc death,21-06-2020,04-07-2020,30
36,3 wk ahead cum death,21-06-2020,11-07-2020,31742
36,3 wk ahead inc death,21-06-2020,11-07-2020,30
36,4 wk ahead cum death,21-06-2020,18-07-2020,31946
36,4 wk ahead inc death,21-06-2020,18-07-2020,28
36,1 wk ahead cum death,25-06-2020,04-07-2020,31510
36,1 wk ahead inc death,25-06-2020,04-07-2020,21
36,2 wk ahead cum death,25-06-2020,11-07-2020,31643
36,2 wk ahead inc death,25-06-2020,11-07-2020,16
36,3 wk ahead cum death,25-06-2020,18-07-2020,31750
36,3 wk ahead inc death,25-06-2020,18-07-2020,15
36,1 wk ahead cum death,28-06-2020,04-07-2020,31505
36,1 wk ahead inc death,28-06-2020,04-07-2020,18
36,2 wk ahead cum death,28-06-2020,11-07-2020,31625
36,2 wk ahead inc death,28-06-2020,11-07-2020,16
36,3 wk ahead cum death,28-06-2020,18-07-2020,31735
36,3 wk ahead inc death,28-06-2020,18-07-2020,15
36,4 wk ahead cum death,28-06-2020,25-07-2020,31843
36,4 wk ahead inc death,28-06-2020,25-07-2020,15
36,1 wk ahead cum death,02-07-2020,11-07-2020,32324
36,2 wk ahead cum death,02-07-2020,18-07-2020,32491
36,3 wk ahead cum death,02-07-2020,25-07-2020,32647
36,4 wk ahead cum death,02-07-2020,01-08-2020,32797
36,1 wk ahead inc death,02-07-2020,11-07-2020,187
36,2 wk ahead inc death,02-07-2020,18-07-2020,167
