location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,31-05-2020,06-06-2020,30473.10509
36,1 wk ahead inc death,31-05-2020,06-06-2020,324.0629559
36,2 wk ahead cum death,31-05-2020,13-06-2020,30975.95762
36,2 wk ahead inc death,31-05-2020,13-06-2020,0
36,3 wk ahead cum death,31-05-2020,20-06-2020,31330.33323
36,3 wk ahead inc death,31-05-2020,20-06-2020,0
36,4 wk ahead cum death,31-05-2020,27-06-2020,31579.2073
36,4 wk ahead inc death,31-05-2020,27-06-2020,0
36,1 wk ahead cum death,07-06-2020,13-06-2020,30783.00346
36,1 wk ahead inc death,07-06-2020,13-06-2020,98.18834126
36,2 wk ahead cum death,07-06-2020,20-06-2020,31253.26451
36,2 wk ahead inc death,07-06-2020,20-06-2020,0
36,3 wk ahead cum death,07-06-2020,27-06-2020,31618.41875
36,3 wk ahead inc death,07-06-2020,27-06-2020,0
36,4 wk ahead cum death,07-06-2020,04-07-2020,31902.18255
36,4 wk ahead inc death,07-06-2020,04-07-2020,0
36,1 wk ahead cum death,14-06-2020,20-06-2020,30852.96465
36,1 wk ahead inc death,14-06-2020,20-06-2020,314.4394289
36,2 wk ahead cum death,14-06-2020,27-06-2020,31052.48293
36,2 wk ahead inc death,14-06-2020,27-06-2020,225.9930634
36,3 wk ahead cum death,14-06-2020,04-07-2020,31190.00516
36,3 wk ahead inc death,14-06-2020,04-07-2020,163.9970024
36,4 wk ahead cum death,14-06-2020,11-07-2020,31284.7952
36,4 wk ahead inc death,14-06-2020,11-07-2020,121.264819
36,1 wk ahead cum death,21-06-2020,27-06-2020,31148.69707
36,1 wk ahead inc death,21-06-2020,27-06-2020,177.6154228
36,2 wk ahead cum death,21-06-2020,04-07-2020,31385.08081
36,2 wk ahead inc death,21-06-2020,04-07-2020,104.3020941
36,3 wk ahead cum death,21-06-2020,11-07-2020,31566.08777
36,3 wk ahead inc death,21-06-2020,11-07-2020,48.9253109
36,4 wk ahead cum death,21-06-2020,18-07-2020,31704.64791
36,4 wk ahead inc death,21-06-2020,18-07-2020,6.478493347
36,1 wk ahead cum death,05-07-2020,11-07-2020,32051.38052
36,2 wk ahead cum death,05-07-2020,18-07-2020,32203.25312
36,3 wk ahead cum death,05-07-2020,25-07-2020,32324.13908
36,4 wk ahead cum death,05-07-2020,01-08-2020,32420.36627
36,5 wk ahead cum death,05-07-2020,08-08-2020,32496.97
36,6 wk ahead cum death,05-07-2020,15-08-2020,32558.01849
36,1 wk ahead inc death,05-07-2020,11-07-2020,704.6739553
36,2 wk ahead inc death,05-07-2020,18-07-2020,665.1660331
36,3 wk ahead inc death,05-07-2020,25-07-2020,634.1793976
36,4 wk ahead inc death,05-07-2020,01-08-2020,609.5206181
36,5 wk ahead inc death,05-07-2020,08-08-2020,589.8971671
36,6 wk ahead inc death,05-07-2020,15-08-2020,574.3419193
36,1 wk ahead inc case,05-07-2020,11-07-2020,4177.281259
36,2 wk ahead inc case,05-07-2020,18-07-2020,3818.412824
36,3 wk ahead inc case,05-07-2020,25-07-2020,3528.335806
36,4 wk ahead inc case,05-07-2020,01-08-2020,3292.702491
36,5 wk ahead inc case,05-07-2020,08-08-2020,3101.754905
36,6 wk ahead inc case,05-07-2020,15-08-2020,2948.003279
