location,target,forecast_date,target_end_date,value
36,1 wk ahead cum death,07-06-2020,13-06-2020,30654
36,1 wk ahead inc case,05-07-2020,11-07-2020,5145.65625
36,1 wk ahead inc death,05-07-2020,11-07-2020,239.0527344
36,1 wk ahead inc case,12-07-2020,18-07-2020,4752.125
36,1 wk ahead inc death,12-07-2020,18-07-2020,182.6015625
36,1 wk ahead inc case,19-07-2020,25-07-2020,5555.458245
36,1 wk ahead inc death,19-07-2020,25-07-2020,118.7791737
36,1 wk ahead cum death,19-07-2020,25-07-2020,32596.77917
36,1 wk ahead inc case,26-07-2020,01-08-2020,5205.15625
36,1 wk ahead inc death,26-07-2020,01-08-2020,123.5253906
36,1 wk ahead cum death,26-07-2020,01-08-2020,32731.52539
36,1 wk ahead inc case,02-08-2020,08-08-2020,4844.875
36,1 wk ahead inc death,02-08-2020,08-08-2020,73.08984375
36,1 wk ahead cum death,02-08-2020,08-08-2020,32767.08984
36,1 wk ahead inc case,09-08-2020,15-08-2020,4795
36,1 wk ahead inc death,09-08-2020,15-08-2020,63.13671875
36,1 wk ahead cum death,09-08-2020,15-08-2020,32831.13672
36,1 wk ahead inc case,16-08-2020,22-08-2020,4880.09375
36,1 wk ahead inc death,16-08-2020,22-08-2020,72.3515625
36,1 wk ahead cum death,16-08-2020,22-08-2020,32905.35156
36,1 wk ahead inc case,23-08-2020,29-08-2020,4419.40625
36,1 wk ahead inc death,23-08-2020,29-08-2020,58.16015625
36,1 wk ahead cum death,23-08-2020,29-08-2020,32929.16016
36,1 wk ahead inc case,30-08-2020,05-09-2020,4229.915433
36,1 wk ahead inc death,30-08-2020,05-09-2020,68.81212773
36,1 wk ahead cum death,30-08-2020,05-09-2020,33006.81213
36,1 wk ahead inc case,06-09-2020,12-09-2020,5303.375
36,1 wk ahead inc death,06-09-2020,12-09-2020,49.13671875
36,1 wk ahead cum death,06-09-2020,12-09-2020,33036.13672
36,1 wk ahead inc case,13-09-2020,19-09-2020,5020.53125
36,1 wk ahead inc death,13-09-2020,19-09-2020,38.4453125
36,1 wk ahead cum death,13-09-2020,19-09-2020,33061.44531
36,1 wk ahead inc case,20-09-2020,26-09-2020,5383
36,1 wk ahead inc death,20-09-2020,26-09-2020,67.34765625
36,1 wk ahead cum death,20-09-2020,26-09-2020,33148.34766
36,1 wk ahead inc case,27-09-2020,03-10-2020,5897.5625
36,1 wk ahead inc death,27-09-2020,03-10-2020,68.7421875
36,1 wk ahead cum death,27-09-2020,03-10-2020,33193.74219
36,1 wk ahead inc case,04-10-2020,10-10-2020,8804.417546
36,1 wk ahead inc death,04-10-2020,10-10-2020,79.84332898
36,1 wk ahead cum death,04-10-2020,10-10-2020,33276.84333
36,1 wk ahead inc case,11-10-2020,17-10-2020,12465.21875
36,1 wk ahead inc death,11-10-2020,17-10-2020,101.3828125
36,1 wk ahead cum death,11-10-2020,17-10-2020,33394.38281
