location,target,forecast_date,target_end_date,value
36,1 wk ahead inc death,2020-09-07,2020-09-12,185.175
36,1 wk ahead inc case,2020-09-07,2020-09-12,5567.441
36,1 wk ahead cum death,2020-09-07,2020-09-12,33187.3245
36,1 wk ahead inc death,2020-09-14,2020-09-19,208.146
36,1 wk ahead inc case,2020-09-14,2020-09-19,4780.4135
36,1 wk ahead cum death,2020-09-14,2020-09-19,33246.3925
36,1 wk ahead inc death,2020-09-21,2020-09-26,229.981
36,1 wk ahead inc case,2020-09-21,2020-09-26,4940.15
36,1 wk ahead cum death,2020-09-21,2020-09-26,33341.983
36,1 wk ahead inc death,2020-09-28,2020-10-03,233.726
36,1 wk ahead inc case,2020-09-28,2020-10-03,4808.069
36,1 wk ahead cum death,2020-09-28,2020-10-03,33389.477
36,1 wk ahead inc death,2020-10-05,2020-10-10,58.5045
36,1 wk ahead inc case,2020-10-05,2020-10-10,7124.276
36,1 wk ahead cum death,2020-10-05,2020-10-10,33264.3905
36,1 wk ahead inc death,2020-10-12,2020-10-17,112.0320720369
36,1 wk ahead inc case,2020-10-12,2020-10-17,9077.7862697278
36,1 wk ahead cum death,2020-10-12,2020-10-17,33415.8207022272
36,1 wk ahead inc death,2020-08-31,2020-09-05,123.641
36,1 wk ahead inc case,2020-08-31,2020-09-05,2162.6735
36,1 wk ahead cum death,2020-08-31,2020-09-05,33079.6785
