location,target,forecast_date,target_end_date,value
36,2 wk ahead cum death,2020-04-13,2020-04-25,16287.9791969647
36,2 wk ahead inc death,2020-04-13,2020-04-25,2514.9590537795
36,1 wk ahead cum death,2020-04-20,2020-04-25,20383.2820019918
36,1 wk ahead inc death,2020-04-20,2020-04-25,2690.1169650211
36,1 wk ahead inc death,2020-04-27,2020-05-02,1975.5840442488
36,1 wk ahead cum death,2020-04-27,2020-05-02,23984.5840442488
36,1 wk ahead inc death,2020-05-04,2020-05-09,1709.8014573412
36,1 wk ahead cum death,2020-05-04,2020-05-09,25907.8014573412
36,1 wk ahead inc death,2020-05-11,2020-05-16,2721.8650913638
36,1 wk ahead cum death,2020-05-11,2020-05-16,29333.8650913638
36,1 wk ahead inc death,2020-05-18,2020-05-23,1280.4887772259
36,1 wk ahead cum death,2020-05-18,2020-05-23,29329.4887772258
36,1 wk ahead inc death,2020-05-25,2020-05-30,674.2393773863
36,1 wk ahead cum death,2020-05-25,2020-05-30,29705.2393773863
36,1 wk ahead inc death,2020-06-01,2020-06-06,426.7244570885
36,1 wk ahead cum death,2020-06-01,2020-06-06,30136.7244570885
36,1 wk ahead inc death,2020-06-08,2020-06-13,274.4758930996
36,1 wk ahead cum death,2020-06-08,2020-06-13,30554.4758930996
36,1 wk ahead inc death,2020-06-15,2020-06-20,180.8219973033
36,1 wk ahead cum death,2020-06-15,2020-06-20,30975.8219973033
36,1 wk ahead inc death,2020-06-22,2020-06-27,118.8173264401
36,1 wk ahead cum death,2020-06-22,2020-06-27,31201.8173264401
36,1 wk ahead inc death,2020-06-29,2020-07-04,79.2088811369
36,1 wk ahead cum death,2020-06-29,2020-07-04,31447.2088811369
36,1 wk ahead inc death,2020-07-06,2020-07-11,69.8255082844
36,1 wk ahead cum death,2020-07-06,2020-07-11,32226.8255082845
36,1 wk ahead inc death,2020-07-13,2020-07-18,66.1650810025
36,1 wk ahead cum death,2020-07-13,2020-07-18,32409.1650810024
36,1 wk ahead inc death,2020-07-20,2020-07-25,67.3105030047
36,1 wk ahead cum death,2020-07-20,2020-07-25,32545.3105030047
36,1 wk ahead inc death,2020-07-27,2020-08-01,62.1745314066
36,1 wk ahead cum death,2020-07-27,2020-08-01,32670.1745314066
36,1 wk ahead inc death,2020-08-03,2020-08-08,75.2116726319
36,1 wk ahead cum death,2020-08-03,2020-08-08,32769.2116726319
36,1 wk ahead inc death,2020-08-10,2020-08-15,69.0913899739
36,1 wk ahead cum death,2020-08-10,2020-08-15,32837.0913899739
36,1 wk ahead inc death,2020-08-17,2020-08-22,54.4182729907
36,1 wk ahead cum death,2020-08-17,2020-08-22,32887.4182729907
36,1 wk ahead inc death,2020-08-24,2020-08-29,43.9529083464
36,1 wk ahead cum death,2020-08-24,2020-08-29,32914.9529083464
36,1 wk ahead inc death,2020-08-31,2020-09-05,96.9919826864
36,1 wk ahead cum death,2020-08-31,2020-09-05,33034.9919826864
36,1 wk ahead inc death,2020-09-07,2020-09-12,144.4358418503
36,1 wk ahead cum death,2020-09-07,2020-09-12,33131.4358418503
36,1 wk ahead inc death,2020-09-14,2020-09-19,117.0904415642
36,1 wk ahead cum death,2020-09-14,2020-09-19,33140.0904415642
36,1 wk ahead inc death,2020-09-21,2020-09-26,144.6445159694
36,1 wk ahead cum death,2020-09-21,2020-09-26,33225.6445159694
36,1 wk ahead inc death,2020-09-28,2020-10-03,45.2427980117
36,1 wk ahead cum death,2020-09-28,2020-10-03,33170.2427980117
36,1 wk ahead inc death,2020-10-05,2020-10-10,67.5387173184
36,1 wk ahead cum death,2020-10-05,2020-10-10,33264.5387173184
36,1 wk ahead inc death,2020-10-12,2020-10-17,135.4171272609
36,1 wk ahead cum death,2020-10-12,2020-10-17,33428.4171272609
