Country,Lat,Long,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Algeria,28.0339,1.6596,1756,1748,1743,1776,-8,-13,20,False,False
Argentina,-38.4161,-63.6167,20795,17992,17812,16208,-2803,-2983,-4587,False,False
Australia,-25,133,894,902,901,901,8,7,7,True,True
Austria,47.5162,14.5501,809,806,806,784,-3,-3,-25,False,False
Bangladesh,23.685,90.3563,5325,5346,5343,5331,21,18,6,True,True
Belarus,53.7098,27.9534,851,848,848,861,-3,-3,10,False,False
Belgium,50.8333,4.469936,10044,10013,10027,9969,-31,-17,-76,True,False
Bolivia,-16.2902,-63.5887,8073,8076,8067,8013,3,-6,-60,False,False
Brazil,-14.235,-51.9253,145987,145477,145178,146466,-510,-809,479,False,True
Bulgaria,42.7339,25.4858,841,837,836,828,-4,-5,-13,False,False
Canada,60.001,-95.001,9488,9363,9384,9243,-125,-104,-245,True,False
Chile,-35.6751,-71.543,12919,12984,12972,12919,65,53,0,True,True
China,30.5928,114.3055,4739,4740,4741,4750,1,2,11,False,False
Colombia,4.5709,-74.2973,26556,26530,26489,26351,-26,-67,-205,False,False
Croatia,45.1,15.2,293,286,285,305,-7,-8,12,False,False
Cuba,21.521757,-77.781167,122,126,126,121,4,4,-1,False,True
Cyprus,35.1264,33.4299,22,22,22,23,0,0,1,False,False
Czechia,49.8175,15.473,711,687,699,655,-24,-12,-56,True,False
Denmark,56.2639,9.5018,654,655,657,644,1,3,-10,False,False
Dominican Republic,18.7357,-70.1627,2128,2129,2131,2153,1,3,25,False,False
Ecuador,-1.8312,-78.1834,11597,11412,11412,19244,-185,-185,7647,True,False
Egypt,26.820553,30.802498,5970,5982,5985,5979,12,15,9,False,True
Estonia,58.5953,25.0136,67,64,65,64,-3,-2,-3,True,False
Finland,61.9241,25.7482,345,348,348,340,3,3,-5,False,False
France,46.2276,2.2137,32171,32028,32112,32627,-143,-59,456,True,False
Germany,51.165691,10.451526,9531,9524,9517,9385,-7,-14,-146,False,False
Greece,39.0742,21.8243,405,411,412,400,6,7,-5,False,True
Honduras,15.2,-86.2419,2399,2370,2375,2280,-29,-24,-119,True,False
Hungary,47.1625,19.5033,812,794,791,791,-18,-21,-22,False,False
Iceland,64.9631,-19.0208,10,10,10,11,0,0,1,False,False
India,20.593684,78.96288,100842,101592,101773,103437,750,931,2595,False,False
Indonesia,-0.7893,113.9213,11055,11042,11038,11077,-13,-17,22,False,False
Iran,32.427908,53.688046,26746,26708,26667,26639,-38,-79,-107,False,False
Ireland,53.1424,-7.6921,1810,1809,1810,1805,-1,0,-5,True,False
Israel,31.046051,34.851612,1682,1674,1649,1527,-8,-33,-155,False,False
Italy,41.8719,12.5674,35968,35942,35952,35749,-26,-16,-219,True,False
Japan,36.204824,138.252924,1594,1592,1594,1642,-2,0,48,True,False
Kuwait,29.31166,47.481766,620,619,619,619,-1,-1,-2,False,False
Latvia,56.8796,24.6032,38,36,37,36,-2,-1,-2,True,True
Lithuania,55.1694,23.8813,94,96,95,87,2,1,-8,True,False
Luxembourg,49.8153,6.1296,125,124,125,123,-1,0,-2,True,False
Malaysia,4.210484,101.975766,137,137,137,130,0,0,-7,False,False
Malta,35.9375,14.3754,38,38,38,25,0,0,-14,True,False
Mexico,23.6345,-102.5528,78880,78679,78660,78268,-201,-221,-612,False,False
Moldova,47.4116,28.3699,1353,1365,1358,1321,12,5,-32,True,False
Morocco,31.7917,-7.0926,2293,2297,2294,2281,4,1,-12,True,False
Netherlands,52.3167,5.55,6503,6478,6481,6401,-25,-22,-102,True,False
Nigeria,9.082,8.6753,1113,1119,1124,1125,6,11,12,False,False
Norway,60.472,8.4689,275,279,278,264,4,3,-11,True,False
Pakistan,30.3753,69.3451,6513,6510,6512,6468,-3,-1,-46,True,False
Panama,8.538,-80.7821,2414,2402,2402,2404,-12,-12,-10,False,True
Peru,-9.19,-75.0152,32609,32900,32848,41893,291,239,9284,True,False
Philippines,12.879721,121.774017,5678,5654,5667,5797,-24,-11,119,True,False
Poland,51.9194,19.1451,2604,2553,2544,2497,-51,-60,-107,False,False
Portugal,39.3999,-8.2245,1995,1983,1989,2011,-12,-6,16,True,False
Romania,45.9432,24.9668,4947,4955,4944,4907,8,-3,-40,True,False
Russia,61.524,105.3188,21153,20927,20901,20928,-226,-252,-225,False,True
Saudi Arabia,23.885942,45.079162,4850,4855,4847,4831,5,-3,-19,True,False
Serbia,44.0165,21.0059,753,752,752,747,-1,-1,-6,True,False
Slovakia,48.669,19.699,54,48,47,40,-6,-7,-14,False,False
Slovenia,46.1512,14.9955,155,154,154,144,-1,-1,-11,False,False
South Africa,-30.5595,22.9375,16938,17010,16946,16769,72,8,-169,True,False
Spain,40.463667,-3.74922,32086,31945,32004,32095,-141,-82,9,True,True
Sweden,60.1282,18.6435,5895,5891,5893,5928,-4,-2,33,True,False
Switzerland,46.8182,8.2275,2076,2076,2078,2044,0,2,-32,False,False
Turkey,38.9637,35.2433,8384,8411,8400,8307,27,16,-77,True,False
Ukraine,48.3794,31.1656,4451,4389,4371,4418,-62,-81,-33,False,True
United Arab Emirates,23.424076,53.847818,426,419,421,425,-7,-5,-1,True,True
United Kingdom,55,-3,42407,42242,42269,57620,-165,-139,15213,True,False
South Korea,35.907757,127.766922,421,421,421,429,0,0,8,True,False
